quality,angle,distance (mm),object
15,343.890625,189.0,1
15,345.125,186.5,1
15,346.359375,184.75,1
15,347.578125,184.25,1
15,348.6875,184.0,1
15,350.046875,184.75,1
15,351.265625,183.75,1
15,352.5,181.5,1
15,353.71875,180.0,1
15,354.90625,179.75,1
15,356.140625,179.5,1
15,357.359375,179.0,1
15,358.59375,179.5,1
15,359.8125,180.5,1
15,1.03125,180.5,1
15,2.265625,181.0,1
15,3.484375,181.75,1
15,4.71875,182.25,1
15,5.9375,183.25,1
15,7.171875,184.5,1
15,8.390625,185.5,1
15,9.625,186.5,1
15,10.84375,187.25,1
15,12.0625,188.25,1
14,13.296875,190.0,1
15,15.75,190.5,1
15,16.96875,191.0,1
15,337.125,192.5,1
15,338.34375,190.75,1
15,339.578125,189.75,1
15,340.796875,190.25,1
15,342.03125,190.5,1
15,343.25,189.5,1
15,344.484375,188.25,1
15,345.703125,186.0,1
15,346.9375,184.5,1
15,350.609375,184.0,1
15,351.84375,183.0,1
15,353.0625,181.25,1
15,354.296875,180.0,1
15,355.515625,179.5,1
15,356.75,178.75,1
15,357.984375,178.5,1
15,359.203125,180.0,1
15,0.421875,180.5,1
15,1.640625,181.0,1
15,2.875,181.75,1
15,4.09375,182.25,1
15,5.3125,183.0,1
15,6.546875,184.0,1
15,7.765625,185.25,1
15,9.0,186.25,1
15,10.21875,187.25,1
15,11.453125,188.25,1
15,12.546875,189.5,1
14,13.890625,190.75,1
15,15.125,190.0,1
15,16.359375,189.75,1
15,335.46875,200.0,1
15,337.9375,191.5,1
15,341.609375,191.0,1
15,342.828125,190.25,1
15,344.0625,189.0,1
15,345.28125,186.5,1
15,346.515625,185.0,1
15,350.1875,185.0,1
15,351.421875,182.5,1
15,352.65625,180.75,1
15,353.890625,180.25,1
15,355.125,179.5,1
15,356.359375,179.25,1
15,357.59375,178.75,1
15,358.8125,179.5,1
15,0.03125,180.75,1
15,1.265625,180.5,1
15,2.484375,181.0,1
15,3.71875,182.0,1
15,4.9375,182.5,1
15,6.171875,183.5,1
15,7.40625,184.5,1
15,8.625,186.0,1
15,9.84375,187.25,1
14,13.53125,189.25,1
15,14.75,190.5,1
15,16.234375,190.25,1
15,17.21875,191.0,1
15,337.65625,192.0,1
15,338.875,190.25,1
14,340.09375,190.0,1
15,341.34375,191.0,1
15,342.5625,190.5,1
15,343.796875,189.0,1
15,345.015625,186.5,1
15,346.25,184.75,1
15,347.484375,184.5,1
15,348.703125,184.25,1
15,349.921875,184.75,1
15,351.171875,184.0,1
15,352.390625,181.5,1
15,353.625,180.0,1
15,354.859375,179.75,1
15,356.078125,179.5,1
15,357.3125,179.0,1
15,358.546875,179.5,1
15,359.765625,180.5,1
15,1.0,180.5,1
15,2.21875,181.0,1
15,3.453125,182.0,1
15,4.671875,182.25,1
15,5.890625,183.25,1
15,7.125,184.5,1
15,8.359375,185.25,1
15,9.578125,186.5,1
15,10.8125,187.25,1
15,12.28125,188.25,1
14,13.265625,190.0,1
15,15.71875,190.5,1
15,16.703125,191.0,1
15,337.140625,192.5,1
15,338.359375,190.75,1
15,339.59375,189.75,1
15,340.828125,190.25,1
15,342.046875,190.25,1
15,343.15625,189.5,1
15,344.1875,188.25,1
15,345.75,186.0,1
15,346.96875,184.5,1
15,350.65625,184.0,1
15,351.875,183.0,1
15,353.109375,181.0,1
15,354.3125,179.75,1
15,355.546875,179.5,1
15,356.765625,178.75,1
15,358.0,178.5,1
15,359.21875,180.0,1
15,0.453125,180.75,1
15,1.671875,181.0,1
15,2.90625,181.75,1
15,4.375,182.25,1
15,5.34375,183.25,1
15,6.578125,184.25,1
15,7.8125,185.25,1
15,9.03125,186.25,1
15,10.265625,187.25,1
15,11.484375,188.25,1
13,12.703125,190.0,1
15,15.15625,189.75,1
15,16.390625,189.75,1
15,337.765625,192.0,1
15,339.0,190.25,1
15,340.21875,190.0,1
15,341.453125,191.0,1
15,342.671875,190.5,1
15,343.90625,189.0,1
15,345.140625,186.5,1
15,346.375,184.75,1
15,347.609375,184.25,1
15,348.828125,184.0,1
15,350.0625,184.5,1
15,351.296875,183.5,1
15,352.515625,181.5,1
15,353.75,180.0,1
15,354.90625,179.75,1
15,356.125,179.5,1
15,357.359375,179.0,1
15,358.59375,179.5,1
15,359.8125,180.5,1
15,1.03125,180.5,1
15,2.265625,181.0,1
15,3.484375,181.75,1
15,4.703125,182.75,1
15,5.9375,183.75,1
15,7.15625,184.5,1
15,8.125,185.75,1
15,9.609375,186.75,1
15,10.84375,187.25,1
15,12.046875,188.25,1
13,13.28125,190.0,1
15,15.734375,190.5,1
15,16.96875,191.0,1
15,337.203125,192.25,1
15,338.4375,190.75,1
15,339.265625,189.75,1
15,340.90625,190.25,1
15,342.125,190.25,1
15,343.359375,189.5,1
15,344.59375,188.25,1
15,345.828125,186.0,1
15,347.046875,184.5,1
15,350.75,183.75,1
15,351.984375,182.5,1
15,353.203125,181.0,1
15,354.359375,179.75,1
15,355.59375,179.75,1
15,356.828125,178.75,1
15,358.296875,179.0,1
15,359.28125,180.5,1
15,0.75,180.75,1
15,1.734375,181.25,1
15,2.953125,181.75,1
15,4.171875,182.25,1
15,7.84375,184.25,1
15,9.078125,186.25,1
15,10.3125,187.25,1
15,11.53125,188.25,1
14,12.75,189.5,1
15,15.203125,189.5,1
15,16.4375,189.75,1
15,335.421875,200.0,1
15,337.875,191.75,1
15,341.5625,191.0,1
15,342.796875,190.5,1
15,343.890625,189.0,1
15,345.25,186.5,1
15,346.484375,185.0,1
15,350.15625,184.75,1
15,351.390625,182.5,1
15,352.625,181.0,1
15,353.828125,180.25,1
15,355.046875,179.75,1
15,356.28125,179.5,1
15,357.515625,178.75,1
15,358.734375,179.5,1
15,359.953125,180.75,1
15,1.1875,180.5,1
15,2.421875,181.0,1
15,3.640625,181.75,1
15,4.859375,182.5,1
15,6.09375,183.5,1
15,7.3125,184.5,1
15,8.546875,186.0,1
15,9.765625,187.5,1
15,11.0,187.75,1
15,12.21875,188.75,1
13,12.9375,190.75,1
15,14.671875,190.75,1
15,15.484375,190.0,1
15,337.546875,192.25,1
15,338.765625,190.5,1
15,340.0,190.0,1
15,341.234375,191.0,1
15,342.453125,190.5,1
