quality,angle,distance,object
15,286.15625,251.5,0
15,286.265625,251.75,0
15,286.359375,251.75,0
15,286.375,252.75,0
15,286.390625,252.5,0
15,286.421875,253.0,0
15,286.46875,253.0,0
15,286.46875,253.25,0
15,286.484375,252.5,0
15,286.484375,252.5,0
15,286.5,252.5,0
15,286.5,252.5,0
15,286.5,253.0,0
15,286.5,253.25,0
15,286.515625,253.25,0
15,286.53125,252.5,0
15,286.53125,252.5,0
15,286.53125,253.0,0
15,286.546875,252.5,0
15,286.546875,253.25,0
15,286.546875,253.25,0
15,286.546875,253.25,0
15,286.5625,252.5,0
15,286.5625,253.25,0
15,286.578125,252.5,0
15,286.578125,252.5,0
15,286.578125,252.5,0
15,286.578125,253.25,0
15,286.59375,252.25,0
15,286.59375,253.25,0
15,286.59375,253.25,0
15,286.609375,252.5,0
15,286.609375,252.75,0
15,286.640625,251.75,0
15,286.640625,252.5,0
15,286.640625,252.75,0
15,286.65625,252.5,0
15,286.65625,252.75,0
15,286.65625,253.25,0
15,286.65625,253.25,0
15,286.671875,253.0,0
15,286.671875,253.0,0
15,286.6875,253.25,0
15,286.703125,252.5,0
15,286.703125,252.75,0
15,286.703125,253.25,0
15,286.703125,253.5,0
15,286.71875,252.5,0
15,286.71875,252.75,0
15,286.734375,252.25,0
15,286.734375,252.75,0
15,286.734375,252.75,0
15,286.734375,253.25,0
15,286.734375,253.25,0
15,286.75,252.75,0
15,286.75,252.75,0
15,286.75,253.25,0
15,286.75,253.25,0
15,286.765625,253.25,0
15,286.765625,253.25,0
15,286.78125,252.5,0
15,286.796875,252.5,0
15,286.796875,252.5,0
15,286.796875,253.25,0
15,286.8125,251.75,0
15,286.8125,252.75,0
15,286.828125,253.0,0
15,286.84375,252.75,0
15,286.859375,253.25,0
15,286.859375,253.5,0
15,286.875,252.75,0
15,286.875,253.0,0
15,286.890625,252.5,0
15,286.90625,253.5,0
15,286.921875,252.0,0
15,286.921875,252.5,0
15,286.921875,253.5,0
15,286.9375,252.25,0
15,286.9375,252.75,0
15,286.953125,252.0,0
15,286.953125,252.0,0
15,286.953125,252.75,0
15,286.96875,252.25,0
15,286.96875,253.25,0
15,286.96875,253.5,0
15,286.984375,253.0,0
15,286.984375,253.25,0
15,287.0,252.0,0
15,287.0,252.0,0
15,287.0,253.25,0
15,287.0,253.25,0
15,287.015625,252.25,0
15,287.015625,253.25,0
15,287.015625,253.25,0
15,287.03125,252.5,0
15,287.03125,252.75,0
15,287.03125,253.0,0
15,287.03125,253.5,0
15,287.046875,251.75,0
15,287.046875,253.25,0
15,287.0625,251.75,0
15,287.0625,252.75,0
15,287.0625,253.25,0
15,287.0625,253.25,0
15,287.078125,253.0,0
15,287.09375,251.75,0
15,287.09375,251.75,0
15,287.09375,252.0,0
15,287.09375,253.0,0
15,287.109375,252.25,0
15,287.125,251.75,0
15,287.125,252.0,0
15,287.125,253.0,0
15,287.125,253.25,0
15,287.140625,252.0,0
15,287.140625,252.25,0
15,287.15625,251.25,0
15,287.15625,253.25,0
15,287.15625,253.25,0
15,287.15625,253.25,0
15,287.171875,252.25,0
15,287.171875,253.25,0
15,287.1875,253.25,0
15,287.203125,251.75,0
15,287.203125,252.0,0
15,287.21875,252.25,0
15,287.21875,253.25,0
15,287.234375,252.0,0
15,287.234375,252.0,0
15,287.234375,253.25,0
15,287.25,252.5,0
15,287.25,253.0,0
15,287.25,253.5,0
15,287.265625,251.25,0
15,287.265625,252.75,0
15,287.265625,252.75,0
15,287.28125,251.25,0
15,287.28125,252.0,0
15,287.28125,252.75,0
15,287.28125,253.25,0
15,287.28125,253.25,0
15,287.296875,252.25,0
15,287.3125,251.25,0
15,287.3125,253.25,0
15,287.3125,253.25,0
15,287.328125,252.0,0
15,287.328125,252.25,0
15,287.328125,252.75,0
15,287.328125,252.75,0
15,287.34375,251.75,0
15,287.34375,252.0,0
15,287.34375,252.25,0
15,287.34375,252.75,0
15,287.34375,253.0,0
15,287.34375,253.25,0
15,287.359375,251.25,0
15,287.359375,251.25,0
15,287.359375,252.25,0
15,287.359375,252.25,0
15,287.359375,252.25,0
15,287.359375,252.25,0
15,287.359375,253.25,0
15,287.359375,253.5,0
15,287.359375,253.5,0
15,287.375,252.0,0
15,287.375,253.5,0
15,287.390625,251.25,0
15,287.390625,252.5,0
15,287.390625,252.75,0
15,287.40625,252.5,0
15,287.40625,252.5,0
15,287.40625,252.5,0
15,287.421875,252.25,0
15,287.4375,251.25,0
15,287.4375,252.25,0
15,287.4375,252.25,0
15,287.4375,252.5,0
15,287.453125,251.75,0
15,287.453125,252.75,0
15,287.46875,251.25,0
15,287.46875,251.25,0
15,287.484375,251.25,0
15,287.484375,252.25,0
15,287.5,250.75,0
15,287.5,250.75,0
15,287.5,250.75,0
15,287.5,251.25,0
15,287.5,251.25,0
15,287.5,253.25,0
15,287.515625,252.25,0
15,287.53125,251.25,0
15,287.53125,251.25,0
15,287.53125,252.5,0
15,287.546875,251.25,0
15,287.546875,253.0,0
15,287.5625,250.75,0
15,287.5625,251.25,0
15,287.5625,252.25,0
15,287.5625,253.0,0
15,287.5625,253.5,0
15,287.578125,251.25,0
15,287.578125,252.25,0
15,287.578125,252.25,0
15,287.59375,251.25,0
15,287.59375,252.25,0
15,287.59375,252.75,0
15,287.59375,253.0,0
15,287.59375,253.25,0
15,287.609375,250.75,0
15,287.609375,252.25,0
15,287.609375,253.5,0
15,287.625,250.25,0
15,287.625,251.25,0
15,287.625,252.25,0
15,287.625,252.25,0
15,287.625,253.25,0
15,287.625,253.25,0
15,287.640625,250.25,0
15,287.640625,250.25,0
15,287.65625,251.25,0
15,287.65625,252.25,0
15,287.671875,251.25,0
15,287.671875,251.25,0
15,287.671875,251.25,0
15,287.671875,252.75,0
15,287.6875,251.25,0
15,287.6875,252.5,0
15,287.703125,251.25,0
15,287.703125,252.5,0
15,287.703125,252.75,0
15,287.71875,250.25,0
15,287.71875,252.0,0
15,287.71875,252.25,0
15,287.71875,252.5,0
15,287.734375,250.75,0
15,287.734375,251.25,0
15,287.75,253.0,0
15,287.765625,252.25,0
15,287.765625,252.75,0
15,287.78125,250.0,0
15,287.78125,253.5,0
15,287.796875,250.0,0
15,287.8125,249.75,0
15,287.8125,251.25,0
15,287.8125,252.75,0
15,287.828125,252.5,0
15,287.828125,252.75,0
15,287.828125,253.0,0
15,287.84375,250.0,0
15,287.84375,250.75,0
15,287.84375,251.75,0
15,287.84375,252.75,0
15,287.84375,253.25,0
15,287.859375,252.25,0
15,287.859375,252.5,0
15,287.859375,253.0,0
15,287.859375,253.5,0
15,287.875,250.25,0
15,287.875,251.25,0
15,287.890625,249.75,0
15,287.890625,250.25,0
15,287.890625,250.25,0
15,287.890625,250.75,0
15,287.890625,252.0,0
15,287.890625,252.25,0
15,287.890625,252.75,0
15,287.90625,249.75,0
15,287.921875,250.0,0
15,287.921875,250.5,0
15,287.921875,251.25,0
15,287.921875,251.25,0
15,287.9375,249.5,0
15,287.9375,249.5,0
15,287.9375,249.5,0
15,287.9375,251.25,0
15,287.9375,252.0,0
15,287.9375,252.5,0
15,287.9375,253.25,0
15,287.953125,249.5,0
15,287.953125,249.75,0
15,287.953125,250.75,0
15,287.953125,251.25,0
15,287.953125,252.25,0
15,287.953125,252.5,0
15,287.953125,253.0,0
15,287.96875,249.75,0
15,287.96875,250.25,0
15,287.96875,250.75,0
15,287.96875,250.75,0
15,287.96875,253.25,0
15,287.984375,249.5,0
15,287.984375,250.75,0
15,287.984375,251.25,0
15,287.984375,251.25,0
15,287.984375,252.25,0
15,287.984375,252.25,0
15,288.0,249.75,0
15,288.0,250.5,0
15,288.0,252.75,0
15,288.0,252.75,0
15,288.015625,249.25,0
15,288.015625,249.75,0
15,288.015625,249.75,0
15,288.015625,250.25,0
15,288.015625,250.75,0
15,288.015625,252.25,0
15,288.03125,249.25,0
15,288.03125,249.5,0
15,288.03125,249.75,0
15,288.03125,250.5,0
15,288.03125,251.0,0
15,288.03125,252.25,0
15,288.046875,249.25,0
15,288.046875,249.75,0
15,288.046875,250.5,0
15,288.046875,250.5,0
15,288.046875,253.5,0
15,288.0625,249.75,0
15,288.0625,249.75,0
15,288.0625,250.25,0
15,288.0625,250.25,0
15,288.0625,250.25,0
15,288.0625,250.75,0
15,288.0625,250.75,0
15,288.0625,251.0,0
15,288.0625,252.5,0
15,288.0625,252.5,0
15,288.078125,249.25,0
15,288.078125,249.75,0
15,288.078125,249.75,0
15,288.078125,250.25,0
15,288.078125,250.5,0
15,288.078125,252.75,0
15,288.078125,253.0,0
15,288.09375,249.25,0
15,288.09375,249.5,0
15,288.09375,249.75,0
15,288.09375,249.75,0
15,288.09375,250.5,0
15,288.09375,250.75,0
15,288.09375,251.25,0
15,288.09375,251.75,0
15,288.109375,248.75,0
15,288.109375,248.75,0
15,288.109375,248.75,0
15,288.109375,250.25,0
15,288.109375,250.5,0
15,288.109375,250.75,0
15,288.109375,250.75,0
15,288.109375,251.75,0
15,288.109375,252.75,0
15,288.109375,252.75,0
15,288.109375,253.0,0
15,288.125,249.75,0
15,288.125,249.75,0
15,288.125,250.75,0
15,288.125,250.75,0
