quality,angle,distance,object
14,110.9375,322.5,1
15,110.953125,322.0,1
15,110.96875,322.0,1
15,110.984375,322.0,1
15,110.984375,322.0,1
15,110.984375,322.25,1
15,110.984375,322.25,1
15,111.0,322.25,1
15,111.015625,322.0,1
15,111.015625,322.0,1
15,111.03125,322.0,1
15,111.046875,321.75,1
14,111.0625,322.0,1
15,111.0625,322.0,1
15,111.078125,321.5,1
15,111.078125,321.75,1
15,111.078125,322.0,1
15,111.078125,322.0,1
15,111.078125,322.0,1
15,111.078125,322.25,1
15,111.078125,322.25,1
15,111.09375,322.25,1
15,111.09375,322.25,1
15,111.109375,321.75,1
15,111.109375,322.0,1
15,111.125,321.25,1
15,111.125,322.25,1
15,111.140625,321.25,1
15,111.140625,321.5,1
15,111.140625,321.75,1
13,111.140625,322.0,1
15,111.15625,320.75,1
15,111.15625,321.75,1
15,111.15625,321.75,1
15,111.1875,320.5,1
15,111.1875,320.5,1
15,111.1875,320.75,1
15,111.1875,322.0,1
14,111.1875,322.25,1
15,111.203125,320.0,1
15,111.203125,322.0,1
15,111.203125,322.25,1
15,111.203125,322.25,1
15,111.21875,319.75,1
15,111.21875,322.0,1
15,111.234375,320.75,1
15,111.234375,321.25,1
15,111.234375,322.0,1
15,111.234375,322.0,1
15,111.25,319.0,1
15,111.25,319.0,1
15,111.25,321.75,1
15,111.265625,320.5,1
15,111.265625,321.0,1
15,111.265625,321.5,1
15,111.265625,321.75,1
14,111.265625,322.0,1
15,111.265625,322.0,1
15,111.265625,322.0,1
15,111.28125,319.75,1
15,111.28125,322.25,1
15,111.296875,320.5,1
15,111.296875,321.5,1
15,111.296875,321.5,1
15,111.3125,319.0,1
15,111.3125,319.0,1
15,111.3125,320.0,1
15,111.3125,321.0,1
15,111.3125,321.5,1
15,111.3125,322.0,1
15,111.3125,322.25,1
15,111.328125,319.25,1
15,111.328125,320.0,1
15,111.34375,322.25,1
15,111.34375,322.25,1
15,111.359375,319.0,1
15,111.359375,319.0,1
15,111.359375,321.5,1
15,111.359375,322.0,1
15,111.359375,322.0,1
15,111.359375,322.0,1
15,111.359375,322.0,1
15,111.359375,322.0,1
15,111.375,321.25,1
15,111.375,322.0,1
15,111.375,322.0,1
15,111.375,322.0,1
15,111.375,322.0,1
15,111.375,322.25,1
15,111.375,322.25,1
15,111.390625,318.75,1
15,111.390625,319.25,1
15,111.390625,321.0,1
15,111.390625,322.0,1
15,111.40625,319.5,1
15,111.40625,319.75,1
15,111.421875,318.75,1
15,111.421875,319.0,1
15,111.421875,319.0,1
15,111.421875,319.25,1
15,111.421875,320.75,1
15,111.421875,322.0,1
15,111.4375,319.0,1
15,111.4375,319.0,1
15,111.4375,319.25,1
15,111.4375,319.75,1
12,111.4375,322.0,1
15,111.4375,322.0,1
15,111.4375,322.0,1
15,111.453125,318.75,1
15,111.453125,318.75,1
15,111.453125,319.0,1
15,111.453125,319.0,1
15,111.453125,319.5,1
15,111.453125,322.0,1
15,111.453125,322.0,1
15,111.46875,318.75,1
15,111.46875,319.0,1
15,111.46875,321.5,1
13,111.46875,322.0,1
15,111.46875,322.0,1
15,111.46875,322.25,1
15,111.484375,319.0,1
15,111.484375,319.0,1
15,111.484375,319.0,1
15,111.484375,319.25,1
15,111.484375,322.0,1
15,111.5,319.0,1
15,111.5,319.0,1
15,111.5,319.0,1
15,111.5,319.0,1
15,111.5,319.5,1
15,111.5,319.75,1
15,111.5,320.0,1
15,111.5,321.75,1
15,111.5,322.0,1
15,111.515625,319.0,1
15,111.515625,319.0,1
15,111.515625,319.25,1
15,111.515625,319.5,1
15,111.515625,319.75,1
14,111.515625,322.0,1
15,111.515625,322.0,1
15,111.515625,322.25,1
15,111.53125,318.75,1
15,111.53125,319.0,1
15,111.53125,319.25,1
15,111.53125,319.25,1
15,111.53125,319.25,1
15,111.53125,319.25,1
15,111.53125,320.0,1
15,111.53125,320.0,1
15,111.53125,321.0,1
15,111.53125,321.75,1
15,111.53125,322.0,1
15,111.53125,322.25,1
15,111.546875,319.0,1
15,111.546875,319.0,1
15,111.546875,319.0,1
15,111.546875,319.0,1
15,111.546875,319.25,1
15,111.546875,320.5,1
15,111.546875,321.5,1
15,111.546875,322.0,1
15,111.546875,322.0,1
15,111.546875,322.0,1
15,111.546875,322.25,1
15,111.546875,322.5,1
15,111.5625,318.75,1
15,111.5625,319.0,1
15,111.5625,319.0,1
15,111.5625,319.25,1
15,111.5625,322.0,1
15,111.5625,322.0,1
13,111.5625,322.25,1
15,111.5625,322.25,1
15,111.578125,318.75,1
15,111.578125,319.0,1
15,111.578125,319.0,1
15,111.578125,319.0,1
15,111.578125,319.25,1
15,111.578125,319.75,1
15,111.578125,321.0,1
15,111.578125,322.0,1
15,111.578125,322.0,1
15,111.578125,322.25,1
15,111.59375,318.75,1
15,111.59375,319.0,1
15,111.59375,319.25,1
15,111.59375,319.25,1
15,111.59375,319.25,1
15,111.59375,322.0,1
15,111.609375,318.75,1
15,111.609375,318.75,1
15,111.609375,319.0,1
15,111.609375,319.0,1
15,111.609375,319.0,1
15,111.609375,319.25,1
15,111.609375,319.25,1
15,111.609375,322.0,1
