quality,angle,distance (mm),object
15,71.1875,198.5,0
15,72.40625,196.75,0
15,73.640625,195.0,0
15,74.875,193.5,0
15,76.09375,192.0,0
15,77.0,190.25,0
15,78.5625,189.0,0
15,79.78125,188.0,0
15,81.015625,187.0,0
15,82.25,186.25,0
15,83.46875,185.25,0
15,84.703125,185.0,0
15,85.9375,184.25,0
15,87.15625,183.5,0
15,88.390625,183.0,0
15,89.609375,182.5,0
15,90.84375,182.0,0
15,92.078125,182.0,0
15,93.296875,181.75,0
15,94.53125,181.5,0
15,95.765625,181.5,0
15,96.984375,182.0,0
15,98.21875,182.75,0
15,99.3125,183.25,0
15,100.671875,183.5,0
15,101.90625,184.0,0
15,103.125,184.5,0
15,104.359375,185.25,0
15,105.59375,186.0,0
15,106.8125,187.0,0
15,108.046875,188.0,0
15,109.265625,189.25,0
15,110.5,190.5,0
15,111.734375,191.75,0
15,112.953125,193.0,0
15,113.796875,194.25,0
15,115.359375,196.0,0
15,70.53125,199.25,0
15,71.765625,197.5,0
15,72.984375,196.0,0
15,73.890625,194.25,0
15,75.453125,192.25,0
15,76.6875,190.75,0
15,77.90625,189.5,0
15,79.140625,188.5,0
15,80.375,187.5,0
15,81.59375,186.75,0
15,82.828125,185.75,0
15,84.046875,185.25,0
15,85.28125,184.5,0
15,86.515625,183.75,0
15,87.734375,183.25,0
15,88.84375,182.75,0
15,90.171875,182.5,0
15,91.390625,182.0,0
15,92.609375,181.75,0
15,93.859375,181.5,0
15,95.078125,181.5,0
15,96.3125,182.0,0
15,97.53125,182.25,0
15,98.75,182.75,0
15,99.984375,183.0,0
15,101.21875,183.5,0
15,102.4375,184.25,0
15,103.65625,184.75,0
15,104.890625,185.25,0
15,106.359375,186.25,0
15,107.34375,187.25,0
15,108.5625,188.5,0
15,109.796875,189.75,0
15,111.015625,191.0,0
15,112.25,192.25,0
15,113.46875,193.5,0
15,70.921875,199.25,0
15,71.90625,197.25,0
15,73.125,195.75,0
15,74.34375,194.25,0
15,75.578125,192.25,0
15,76.8125,190.5,0
15,78.03125,189.5,0
15,79.265625,188.5,0
15,80.484375,187.5,0
15,81.71875,186.75,0
15,82.953125,185.75,0
15,84.171875,185.0,0
15,85.390625,184.25,0
15,86.625,183.75,0
15,87.84375,183.0,0
15,89.078125,182.75,0
15,90.234375,182.5,0
15,91.46875,182.0,0
15,92.6875,181.75,0
15,93.921875,181.25,0
15,95.140625,181.5,0
15,96.375,182.0,0
15,97.578125,182.25,0
15,98.8125,182.75,0
15,100.03125,183.0,0
15,101.25,183.5,0
15,102.484375,184.25,0
15,103.703125,184.75,0
15,104.921875,185.25,0
15,106.140625,186.25,0
15,107.375,187.5,0
15,108.59375,188.5,0
15,109.8125,189.75,0
15,111.03125,191.0,0
15,112.265625,192.25,0
15,113.484375,193.5,0
15,70.625,199.25,0
15,71.859375,197.25,0
15,73.078125,195.75,0
15,74.3125,194.25,0
15,75.796875,192.25,0
