quality,angle,distance (mm),object
15,81.015625,184.75,1
15,82.234375,183.5,1
15,83.46875,183.75,1
15,84.703125,184.5,1
15,85.9375,184.0,1
15,87.171875,183.25,1
15,98.234375,182.0,1
15,99.453125,181.0,1
15,100.6875,181.5,1
15,101.90625,182.5,1
15,103.140625,183.75,1
15,104.375,184.75,1
15,105.59375,185.0,1
15,106.828125,185.25,1
15,108.0625,186.25,1
15,109.296875,187.5,1
15,110.53125,188.0,1
15,111.75,189.0,1
15,112.984375,190.5,1
15,114.46875,191.75,1
15,115.4375,192.75,1
15,116.921875,194.0,1
15,117.90625,195.5,1
15,121.59375,198.0,1
15,81.15625,184.5,1
15,84.84375,184.0,1
15,86.078125,184.0,1
15,87.3125,183.25,1
15,92.234375,182.5,1
15,98.375,181.0,1
15,99.59375,181.0,1
15,103.28125,183.0,1
15,104.5,184.5,1
15,105.734375,184.75,1
15,106.96875,185.25,1
15,108.203125,186.5,1
15,109.421875,187.5,1
15,110.640625,188.25,1
15,111.875,189.25,1
15,113.109375,190.25,1
15,113.90625,191.75,1
15,115.546875,193.0,1
15,116.78125,194.0,1
15,118.015625,195.5,1
15,121.6875,197.75,1
15,81.09375,184.5,1
15,84.78125,184.25,1
15,86.015625,183.75,1
15,87.25,183.0,1
15,89.71875,180.25,1
15,93.421875,177.25,1
15,98.328125,178.5,1
15,99.5625,180.75,1
15,100.78125,181.25,1
15,102.015625,182.25,1
15,103.234375,183.75,1
15,104.46875,184.5,1
15,105.703125,184.75,1
15,106.9375,185.25,1
15,108.15625,186.5,1
15,109.390625,187.5,1
15,110.609375,188.0,1
15,111.84375,189.0,1
15,113.078125,190.25,1
15,114.28125,191.5,1
15,115.515625,192.75,1
15,116.734375,194.0,1
15,117.71875,195.5,1
15,121.65625,198.0,1
15,81.125,184.5,1
15,82.359375,183.25,1
15,83.59375,183.5,1
15,84.8125,184.5,1
15,86.046875,183.75,1
15,87.28125,183.0,1
15,89.75,180.25,1
15,93.421875,177.25,1
15,94.65625,176.25,1
15,98.3125,178.0,1
15,99.546875,180.75,1
15,100.78125,181.25,1
15,102.0,182.25,1
15,103.234375,183.75,1
15,104.46875,184.5,1
15,105.6875,184.75,1
15,106.921875,185.25,1
15,108.15625,186.25,1
15,109.375,187.5,1
15,110.609375,188.0,1
15,111.84375,189.0,1
15,113.0625,190.25,1
15,114.25,191.5,1
15,115.46875,192.75,1
15,116.703125,194.0,1
15,117.921875,195.5,1
15,121.609375,198.0,1
15,81.09375,184.5,1
15,82.328125,183.25,1
15,83.5625,183.5,1
15,84.796875,184.5,1
15,86.015625,183.75,1
15,87.25,183.0,1
15,94.625,176.0,1
15,98.296875,178.0,1
15,99.515625,180.75,1
15,100.75,181.25,1
15,101.984375,182.25,1
15,103.203125,183.75,1
15,104.4375,184.5,1
15,105.671875,184.75,1
15,106.90625,185.25,1
15,108.140625,186.25,1
15,109.359375,187.25,1
15,110.578125,188.0,1
15,111.828125,189.0,1
15,113.046875,190.25,1
15,114.234375,191.5,1
15,115.453125,192.75,1
15,116.6875,194.0,1
15,117.90625,195.5,1
15,121.59375,198.0,1
15,81.40625,184.5,1
15,85.09375,184.5,1
15,86.34375,184.0,1
15,87.5625,183.0,1
15,91.734375,170.5,1
15,93.671875,180.25,1
15,98.578125,178.75,1
15,99.8125,180.5,1
15,103.484375,182.75,1
15,104.71875,184.5,1
15,105.953125,185.0,1
15,107.1875,185.5,1
15,108.40625,186.5,1
15,109.640625,187.5,1
15,110.53125,188.5,1
15,112.09375,189.75,1
15,112.984375,190.75,1
15,114.515625,192.0,1
15,115.734375,193.0,1
15,116.96875,194.25,1
13,118.1875,196.0,1
15,119.421875,196.25,1
15,120.65625,197.0,1
15,121.875,199.0,1
15,80.390625,186.0,1
15,81.625,184.25,1
15,85.1875,184.0,1
15,86.546875,184.0,1
15,87.78125,183.0,1
15,97.578125,180.0,1
15,98.8125,180.25,1
15,100.046875,180.5,1
15,101.265625,181.0,1
15,102.5,182.0,1
15,103.734375,183.75,1
15,104.953125,184.5,1
15,106.1875,185.0,1
15,107.421875,185.75,1
15,108.640625,187.0,1
15,109.875,187.75,1
15,111.09375,188.75,1
15,112.328125,189.75,1
15,113.5625,190.75,1
15,114.796875,192.0,1
15,116.015625,193.25,1
15,117.25,194.5,1
15,119.71875,196.0,1
15,120.953125,197.75,1
15,122.171875,199.5,1
15,123.40625,201.5,1
15,80.78125,184.75,1
15,82.015625,183.5,1
15,83.25,183.75,1
15,84.484375,184.5,1
15,85.703125,184.0,1
15,86.9375,183.5,1
15,99.203125,180.75,1
15,100.4375,181.0,1
15,101.671875,181.75,1
15,102.890625,183.25,1
15,104.125,184.0,1
15,105.359375,184.75,1
15,106.578125,185.5,1
15,107.8125,186.5,1
15,109.046875,187.5,1
15,110.28125,188.0,1
15,111.5,188.75,1
15,112.234375,190.25,1
15,113.96875,191.25,1
15,115.1875,192.25,1
15,116.421875,193.5,1
15,117.65625,194.75,1
15,118.875,195.75,1
15,120.109375,196.75,1
15,121.34375,198.25,1
15,80.59375,185.0,1
15,81.9375,183.75,1
15,83.171875,183.75,1
15,84.40625,184.5,1
15,85.625,184.0,1
15,86.859375,183.75,1
