quality,angle,distance (mm),object
15,59.90625,217.75,0
15,60.609375,215.0,0
15,62.328125,212.25,0
15,62.515625,209.75,0
15,64.78125,207.25,0
15,66.015625,204.75,0
15,67.234375,202.75,0
15,68.46875,201.25,0
15,69.6875,199.25,0
15,70.921875,197.5,0
15,72.140625,195.75,0
15,73.359375,194.25,0
15,74.59375,193.0,0
15,75.8125,191.75,0
15,77.046875,190.75,0
15,78.265625,189.75,0
15,79.5,189.0,0
15,80.71875,188.0,0
15,81.953125,187.5,0
15,83.171875,187.0,0
15,84.390625,186.5,0
15,85.625,186.0,0
15,86.859375,185.5,0
15,88.078125,185.25,0
15,89.296875,185.25,0
15,90.546875,185.25,0
15,91.765625,185.0,0
15,93.0,185.0,0
15,94.21875,185.25,0
15,95.453125,185.75,0
15,96.671875,186.25,0
15,97.890625,186.75,0
15,99.125,187.5,0
15,100.34375,188.0,0
15,101.578125,188.5,0
15,102.796875,189.5,0
15,104.015625,190.5,0
15,105.0,191.5,0
15,106.46875,192.5,0
15,107.578125,193.5,0
15,108.9375,194.75,0
15,110.15625,196.25,0
15,111.375,197.75,0
15,112.59375,199.25,0
15,113.8125,200.5,0
15,115.03125,202.0,0
15,116.25,204.0,0
15,117.46875,206.25,0
15,118.703125,208.25,0
15,119.921875,210.25,0
15,121.140625,212.5,0
15,58.65625,217.25,0
15,59.890625,215.25,0
15,62.25,212.25,0
15,63.484375,209.75,0
15,64.703125,207.75,0
15,65.9375,205.5,0
15,67.171875,203.0,0
15,68.390625,201.25,0
15,69.625,199.25,0
15,70.84375,197.5,0
15,71.734375,196.0,0
15,73.046875,194.75,0
15,74.515625,193.25,0
15,75.75,191.75,0
15,76.96875,190.75,0
15,78.4375,189.75,0
15,79.421875,189.0,0
15,80.640625,188.0,0
15,81.875,187.5,0
15,83.09375,187.0,0
15,84.3125,186.5,0
15,85.546875,185.75,0
15,86.515625,185.5,0
15,88.0,185.25,0
15,88.96875,185.25,0
15,90.4375,185.25,0
15,91.671875,185.25,0
15,92.890625,185.25,0
15,94.125,185.25,0
15,95.34375,185.75,0
15,96.5625,186.0,0
15,97.796875,186.5,0
15,99.015625,187.25,0
15,100.234375,188.0,0
15,101.46875,188.5,0
15,102.6875,189.5,0
15,103.90625,190.25,0
15,105.140625,191.25,0
15,106.359375,192.25,0
15,107.578125,193.5,0
15,108.8125,194.75,0
15,110.03125,196.0,0
15,111.25,197.5,0
15,112.484375,199.0,0
15,113.703125,200.5,0
15,114.875,202.0,0
15,116.09375,204.0,0
15,117.3125,206.0,0
15,117.453125,207.75,0
15,119.75,209.75,0
15,120.96875,212.25,0
15,60.515625,216.75,0
15,61.75,214.0,0
15,62.96875,211.25,0
15,64.1875,208.75,0
15,65.421875,206.25,0
15,66.671875,204.0,0
15,67.90625,202.0,0
15,69.125,200.0,0
15,70.34375,198.0,0
15,71.578125,196.5,0
15,72.796875,195.25,0
15,74.03125,193.75,0
15,75.25,192.5,0
15,76.46875,191.25,0
15,77.703125,190.0,0
15,78.921875,189.0,0
15,80.15625,188.5,0
15,81.375,187.75,0
15,82.609375,187.25,0
15,83.828125,186.75,0
15,85.0625,186.25,0
15,86.28125,185.75,0
