quality,angle,distance (mm),object
15,66.3125,224.5,1
15,66.265625,219.75,1
12,74.828125,206.0,1
15,76.046875,205.0,1
15,77.28125,205.25,1
15,78.484375,203.25,1
15,79.71875,199.0,1
14,80.8125,197.5,1
15,82.15625,195.75,1
15,83.046875,194.0,1
15,84.59375,192.75,1
15,85.828125,192.25,1
15,87.03125,191.5,1
15,88.5,189.75,1
15,94.359375,188.0,1
15,95.578125,187.25,1
15,96.796875,187.75,1
15,98.015625,188.25,1
15,99.234375,188.5,1
15,100.453125,188.25,1
15,101.671875,187.5,1
15,102.890625,186.75,1
15,104.125,185.5,1
15,107.78125,186.25,1
15,108.984375,188.25,1
15,110.21875,188.75,1
15,111.4375,189.25,1
13,65.796875,227.25,1
15,66.234375,223.0,1
14,68.234375,220.0,1
15,74.328125,207.0,1
15,75.546875,205.5,1
15,76.78125,204.5,1
15,78.0,203.0,1
15,79.21875,200.5,1
13,80.4375,198.75,1
15,82.875,196.0,1
15,83.59375,193.5,1
15,85.328125,193.0,1
15,86.546875,191.75,1
15,87.765625,190.75,1
15,89.921875,188.75,1
15,93.828125,187.5,1
15,95.046875,187.75,1
15,96.265625,188.0,1
15,97.484375,188.25,1
15,98.703125,188.25,1
15,99.921875,187.5,1
15,101.140625,187.25,1
15,102.359375,186.75,1
15,103.578125,185.75,1
15,104.8125,184.25,1
15,109.671875,188.25,1
15,67.5625,219.5,1
13,70.0,215.5,1
15,74.875,206.0,1
15,76.09375,205.0,1
15,76.921875,205.0,1
15,78.546875,203.0,1
15,79.765625,199.0,1
14,80.984375,197.25,1
15,82.203125,195.75,1
15,83.4375,193.75,1
15,84.65625,192.75,1
15,85.875,192.25,1
15,87.109375,191.5,1
15,88.328125,189.75,1
15,94.375,184.25,1
15,95.59375,187.25,1
15,96.8125,187.75,1
15,98.03125,188.25,1
15,99.25,188.5,1
15,100.46875,188.25,1
15,101.6875,187.5,1
15,102.90625,186.75,1
15,104.140625,185.5,1
15,107.78125,186.25,1
15,109.0,188.0,1
15,110.234375,188.75,1
15,111.4375,189.25,1
15,65.953125,226.5,1
15,67.1875,221.75,1
14,68.40625,219.5,1
15,74.5,206.25,1
14,75.71875,205.5,1
15,76.953125,205.25,1
15,78.171875,203.25,1
15,79.390625,199.75,1
15,83.0625,196.5,1
15,84.28125,194.0,1
15,85.515625,193.0,1
15,86.71875,191.0,1
15,87.953125,189.75,1
15,89.171875,189.25,1
15,90.328125,188.0,1
15,94.0,187.5,1
15,95.203125,187.5,1
15,97.640625,187.5,1
15,98.859375,188.25,1
15,100.078125,187.75,1
15,101.296875,187.25,1
15,102.515625,186.75,1
15,103.75,185.5,1
15,104.96875,183.75,1
15,109.828125,189.0,1
15,67.796875,220.5,1
15,73.859375,207.0,1
15,75.09375,205.5,1
15,76.3125,204.5,1
