quality,angle,distance (mm),object
15,64.859375,177.75,0
15,66.109375,176.5,0
15,67.34375,175.0,0
15,68.5625,173.5,0
15,70.296875,172.25,0
15,71.515625,171.25,0
15,72.75,170.0,0
15,73.984375,169.25,0
15,75.203125,168.5,0
15,76.4375,167.75,0
15,77.65625,167.0,0
15,78.890625,166.5,0
15,80.125,166.0,0
15,81.09375,165.75,0
15,82.578125,165.25,0
15,83.796875,165.0,0
15,85.03125,164.75,0
15,86.25,164.5,0
15,87.484375,164.5,0
15,88.71875,164.5,0
15,89.953125,164.5,0
15,91.15625,165.0,0
15,92.390625,165.5,0
15,93.625,165.5,0
15,94.84375,166.0,0
15,96.0625,166.25,0
15,97.296875,167.0,0
15,98.53125,167.75,0
15,99.75,168.75,0
15,100.984375,169.5,0
15,102.203125,170.25,0
15,103.4375,171.5,0
15,106.609375,173.5,0
15,107.84375,175.75,0
15,111.53125,178.75,0
15,63.953125,180.0,0
15,65.171875,177.5,0
15,66.453125,176.0,0
15,67.6875,174.75,0
15,68.921875,173.25,0
15,70.640625,172.25,0
15,71.875,171.25,0
15,73.109375,170.0,0
15,74.328125,169.25,0
15,75.5625,168.5,0
15,76.796875,167.5,0
15,78.03125,166.75,0
15,79.25,166.25,0
15,80.484375,166.0,0
15,81.703125,165.5,0
15,82.9375,165.25,0
15,84.171875,165.0,0
15,85.390625,164.75,0
15,86.625,164.75,0
15,87.859375,164.5,0
15,89.09375,164.5,0
15,90.28125,164.75,0
15,91.5,165.0,0
15,92.734375,165.5,0
15,93.953125,165.75,0
15,95.1875,166.0,0
15,96.40625,166.5,0
15,97.625,167.25,0
15,98.859375,168.25,0
15,100.09375,168.75,0
15,101.3125,169.75,0
15,102.546875,170.75,0
15,103.765625,171.75,0
15,104.484375,172.75,0
15,105.71875,173.75,0
15,106.953125,175.0,0
15,108.171875,176.0,0
15,109.390625,177.5,0
15,110.625,179.0,0
15,111.859375,180.5,0
15,64.46875,179.5,0
15,65.703125,177.25,0
15,66.953125,175.75,0
15,68.1875,174.0,0
15,69.921875,173.0,0
15,71.15625,171.75,0
15,72.375,170.5,0
15,73.609375,169.5,0
15,74.828125,168.75,0
15,76.0625,167.75,0
15,77.296875,167.0,0
15,78.515625,166.25,0
15,79.75,165.75,0
15,80.96875,165.5,0
15,82.203125,165.25,0
