quality,angle,distance (mm),object
15,72.34375,174.75,1
15,73.609375,173.75,1
15,74.859375,173.0,1
15,79.15625,171.0,1
15,80.40625,169.25,1
15,81.671875,170.0,1
15,82.9375,168.5,1
15,84.1875,166.25,1
15,87.96875,166.75,1
15,89.234375,167.5,1
15,90.4375,167.75,1
15,91.6875,168.5,1
15,92.9375,169.0,1
15,96.203125,171.25,1
15,99.96875,175.5,1
15,101.21875,178.0,1
13,104.984375,180.5,1
15,108.765625,183.75,1
15,110.03125,186.5,1
15,111.28125,187.75,1
15,66.59375,179.5,1
15,67.859375,176.0,1
15,71.625,175.0,1
15,72.890625,174.5,1
15,74.140625,173.75,1
15,75.890625,172.25,1
15,77.15625,170.0,1
15,78.40625,168.75,1
15,79.671875,169.0,1
15,83.4375,168.5,1
15,84.703125,166.5,1
15,88.453125,166.75,1
15,89.71875,168.25,1
15,90.9375,168.25,1
15,92.1875,168.5,1
15,93.4375,169.0,1
15,96.703125,172.0,1
15,99.203125,175.25,1
13,100.46875,176.75,1
15,66.953125,178.75,1
15,68.203125,175.75,1
15,69.453125,175.25,1
15,70.703125,175.75,1
15,71.96875,175.25,1
15,73.21875,174.25,1
15,74.484375,173.5,1
15,78.765625,170.75,1
15,80.015625,168.75,1
15,81.28125,168.25,1
15,82.53125,168.0,1
15,83.796875,167.25,1
15,85.046875,166.25,1
15,86.3125,166.5,1
15,87.5625,167.0,1
15,88.8125,167.5,1
15,90.0625,168.25,1
15,91.3125,168.75,1
15,92.578125,168.75,1
15,93.828125,169.25,1
14,100.859375,176.75,1
15,65.96875,180.75,1
15,67.21875,177.75,1
15,70.984375,175.75,1
15,72.25,174.75,1
15,73.5,173.75,1
15,74.765625,173.0,1
15,79.046875,170.75,1
15,80.296875,169.0,1
15,81.5625,169.75,1
15,82.828125,168.25,1
15,84.078125,166.5,1
15,87.859375,166.75,1
15,89.109375,167.5,1
15,90.359375,168.0,1
15,91.625,168.5,1
15,92.875,168.75,1
15,94.125,169.5,1
15,97.390625,172.5,1
15,99.90625,176.0,1
15,101.171875,178.0,1
15,109.96875,186.5,1
15,66.375,179.5,1
15,67.625,176.25,1
15,71.40625,175.25,1
15,72.671875,174.5,1
15,73.921875,173.5,1
15,75.171875,173.0,1
15,79.46875,170.5,1
15,83.25,167.75,1
15,84.5,166.75,1
15,88.28125,167.0,1
15,89.53125,168.0,1
15,90.78125,168.0,1
15,92.046875,168.5,1
15,93.296875,169.0,1
14,101.59375,178.25,1
15,110.15625,187.0,1
15,111.671875,188.5,1
15,112.921875,190.25,1
15,65.703125,181.75,1
15,67.015625,178.75,1
15,68.265625,175.5,1
15,69.53125,175.25,1
15,70.78125,175.75,1
15,72.03125,175.25,1
15,73.296875,174.25,1
15,74.5625,173.5,1
15,78.84375,170.75,1
15,80.109375,168.75,1
15,81.375,168.5,1
15,82.625,168.0,1
15,83.890625,166.75,1
15,85.140625,166.0,1
15,86.40625,166.5,1
15,87.65625,167.0,1
15,88.921875,167.5,1
15,90.171875,168.25,1
15,91.390625,168.75,1
15,92.640625,169.0,1
15,95.890625,171.0,1
15,100.921875,175.75,1
15,104.6875,179.75,1
15,66.296875,179.25,1
15,67.5625,176.25,1
15,71.328125,175.5,1
15,72.59375,174.75,1
15,73.84375,173.5,1
15,75.109375,173.0,1
15,83.171875,167.25,1
15,84.421875,166.25,1
15,88.203125,166.75,1
15,89.453125,167.75,1
15,90.65625,167.75,1
15,91.921875,168.5,1
15,93.171875,169.0,1
15,96.421875,172.0,1
15,100.1875,176.0,1
15,101.453125,178.0,1
15,110.234375,186.75,1
15,66.671875,179.5,1
15,67.921875,176.0,1
15,71.703125,175.0,1
15,72.953125,174.5,1
15,74.203125,173.75,1
15,75.96875,171.75,1
15,77.234375,170.0,1
15,78.484375,169.25,1
15,79.75,169.0,1
15,83.515625,168.5,1
15,84.78125,166.5,1
15,88.546875,166.75,1
15,89.796875,168.25,1
15,91.015625,168.25,1
15,92.28125,168.75,1
15,93.53125,169.25,1
15,96.78125,172.0,1
13,99.296875,175.5,1
15,100.546875,177.0,1
14,104.3125,179.25,1
15,65.828125,181.75,1
15,67.09375,178.75,1
15,68.34375,175.5,1
15,69.59375,175.75,1
