quality,angle,distance (mm),object
15,60.03125,203.5,0
15,61.015625,200.25,0
15,62.25,197.25,0
15,63.484375,194.5,0
15,64.71875,192.25,0
15,65.953125,190.25,0
15,67.1875,188.25,0
15,68.40625,186.25,0
15,69.640625,184.5,0
15,70.875,183.0,0
15,72.109375,181.75,0
15,73.34375,180.5,0
15,74.5625,179.25,0
15,75.796875,178.25,0
15,77.03125,177.25,0
15,78.265625,176.25,0
15,79.484375,175.25,0
15,80.71875,174.75,0
15,81.953125,174.25,0
15,83.1875,173.75,0
15,84.421875,173.25,0
15,86.15625,172.5,0
15,87.390625,171.75,0
15,88.625,171.25,0
15,89.859375,170.5,0
15,91.078125,170.5,0
15,92.296875,170.75,0
15,93.53125,171.25,0
15,94.25,172.25,0
15,95.484375,173.25,0
15,96.71875,173.75,0
15,97.9375,174.25,0
15,99.171875,175.0,0
15,100.40625,175.5,0
15,101.625,176.0,0
15,102.859375,177.25,0
15,104.09375,178.0,0
15,105.328125,179.0,0
15,106.5625,180.0,0
15,107.78125,181.0,0
15,109.015625,182.5,0
15,110.25,183.75,0
15,111.46875,185.0,0
15,112.703125,186.75,0
15,113.796875,188.5,0
15,117.203125,192.25,0
15,60.046875,202.5,0
15,61.28125,199.25,0
15,62.515625,196.75,0
15,63.734375,194.0,0
15,64.96875,191.25,0
15,66.21875,189.5,0
15,67.453125,187.75,0
15,68.6875,185.75,0
15,69.921875,184.25,0
15,71.15625,182.75,0
15,72.375,181.5,0
15,73.609375,180.25,0
15,74.84375,179.25,0
15,76.078125,178.0,0
15,77.296875,177.0,0
15,78.53125,176.25,0
15,79.765625,175.5,0
15,81.0,174.75,0
15,82.234375,174.0,0
15,83.46875,173.75,0
15,84.6875,173.25,0
15,86.421875,172.5,0
15,87.671875,171.5,0
15,88.890625,170.75,0
15,90.125,170.5,0
15,91.34375,170.75,0
15,92.5625,171.0,0
15,93.796875,171.5,0
15,94.53125,172.5,0
15,95.765625,173.0,0
15,96.984375,173.5,0
15,98.21875,174.25,0
15,99.453125,175.0,0
15,100.671875,175.5,0
15,101.90625,176.25,0
15,103.140625,177.25,0
15,104.359375,178.5,0
15,105.59375,179.5,0
15,106.828125,180.25,0
15,108.0625,181.25,0
15,109.28125,182.5,0
15,110.390625,184.25,0
15,111.75,185.75,0
15,112.96875,187.25,0
15,114.171875,189.0,0
15,115.390625,190.75,0
15,116.625,192.5,0
15,58.125,205.5,0
15,60.3125,202.0,0
15,61.53125,198.75,0
15,62.265625,196.0,0
15,63.75,193.5,0
15,65.234375,191.0,0
15,66.515625,189.25,0
15,67.75,187.5,0
15,68.984375,185.5,0
15,70.21875,184.0,0
15,71.4375,182.5,0
15,72.6875,181.25,0
15,73.90625,179.75,0
15,75.140625,178.75,0
15,76.375,178.0,0
15,77.609375,176.75,0
15,78.84375,176.0,0
15,80.078125,175.25,0
15,81.3125,174.5,0
15,82.546875,174.0,0
15,83.765625,173.5,0
15,85.0,173.0,0
15,86.734375,172.25,0
15,87.984375,171.5,0
15,89.203125,171.0,0
15,90.390625,170.5,0
15,91.625,170.75,0
15,92.84375,171.25,0
15,94.078125,171.75,0
15,94.8125,172.75,0
15,96.03125,173.5,0
15,97.265625,174.0,0
15,98.5,174.75,0
15,99.734375,175.25,0
15,100.953125,176.0,0
15,102.1875,176.75,0
15,103.40625,177.75,0
15,104.640625,178.5,0
15,105.875,179.5,0
15,107.109375,180.75,0
15,108.328125,181.75,0
15,109.5625,183.25,0
15,110.796875,184.5,0
15,112.03125,185.75,0
15,113.25,187.5,0
15,114.4375,189.25,0
15,115.65625,191.0,0
15,116.890625,193.0,0
15,118.125,195.0,0
15,119.34375,197.25,0
15,59.078125,205.5,0
15,60.3125,202.0,0
15,61.546875,198.75,0
15,62.78125,196.0,0
15,64.0,193.5,0
15,65.234375,191.0,0
15,66.5,189.25,0
15,67.734375,187.5,0
15,68.953125,185.5,0
15,70.203125,184.0,0
15,71.421875,182.5,0
15,72.65625,181.25,0
15,73.890625,180.0,0
15,75.109375,179.0,0
15,76.34375,178.0,0
15,77.578125,176.75,0
15,78.8125,176.0,0
15,80.046875,175.25,0
15,81.28125,174.5,0
15,82.515625,174.0,0
15,83.734375,173.5,0
15,84.96875,173.0,0
15,86.703125,172.25,0
15,87.9375,171.5,0
15,89.171875,170.75,0
15,90.359375,170.5,0
