quality,angle,distance (mm),object
15,65.78125,185.75,1
15,67.0,183.5,1
13,68.21875,180.75,1
15,69.453125,177.75,1
15,70.6875,175.0,1
15,71.90625,173.5,1
15,73.625,171.75,1
15,74.859375,170.25,1
15,76.078125,168.5,1
15,77.296875,166.5,1
15,80.984375,159.25,1
15,82.203125,158.75,1
15,83.421875,158.25,1
15,84.65625,157.0,1
15,85.890625,156.25,1
15,87.109375,155.5,1
15,88.328125,155.0,1
15,89.5625,154.5,1
15,90.734375,154.0,1
15,91.96875,153.0,1
15,104.171875,154.25,1
15,105.40625,154.25,1
15,106.625,154.25,1
15,107.84375,154.5,1
14,111.515625,156.75,1
15,62.578125,186.75,1
15,63.796875,185.25,1
15,65.03125,186.0,1
15,66.25,185.25,1
15,67.484375,182.25,1
15,68.703125,179.75,1
15,71.15625,172.75,1
15,72.875,172.5,1
15,74.109375,171.0,1
15,75.328125,169.25,1
15,76.5625,168.25,1
15,77.78125,166.75,1
13,79.0,165.0,1
15,81.453125,159.25,1
15,82.6875,159.75,1
15,84.234375,159.0,1
15,85.125,157.25,1
15,86.359375,156.25,1
15,87.578125,155.5,1
15,88.796875,154.5,1
15,90.03125,154.0,1
15,91.1875,153.75,1
15,98.515625,153.75,1
15,103.40625,154.5,1
15,104.625,155.0,1
15,105.84375,154.25,1
15,108.28125,154.25,1
15,109.5,155.5,1
15,110.71875,156.75,1
15,62.875,186.25,1
15,65.3125,184.75,1
15,66.53125,184.25,1
15,68.96875,180.5,1
15,70.203125,175.5,1
15,71.421875,173.25,1
15,73.140625,172.5,1
15,74.375,170.75,1
15,75.578125,168.25,1
15,76.8125,167.0,1
15,78.03125,166.5,1
15,79.25,165.0,1
15,82.921875,161.75,1
15,84.15625,159.25,1
15,85.375,157.75,1
15,86.59375,156.0,1
15,87.828125,155.25,1
15,89.046875,154.5,1
15,90.265625,154.25,1
15,91.4375,153.75,1
15,97.546875,154.75,1
15,104.859375,155.5,1
15,107.296875,154.5,1
15,110.953125,156.25,1
15,62.859375,186.25,1
15,65.296875,184.75,1
15,66.484375,184.25,1
15,68.9375,180.75,1
15,70.15625,175.5,1
15,71.375,173.0,1
15,73.09375,172.5,1
15,74.328125,170.75,1
15,75.546875,168.25,1
15,76.75,167.0,1
15,77.984375,166.5,1
15,79.203125,164.75,1
15,82.875,161.75,1
15,84.078125,159.25,1
15,85.3125,157.75,1
15,86.53125,156.0,1
15,87.5,155.25,1
15,88.984375,154.5,1
15,90.203125,154.25,1
15,91.390625,153.75,1
15,98.703125,155.0,1
15,104.796875,154.25,1
15,107.234375,154.5,1
15,110.890625,156.0,1
15,62.609375,186.75,1
15,63.828125,186.0,1
15,65.046875,186.5,1
15,66.265625,185.25,1
15,67.484375,182.25,1
15,68.71875,179.75,1
15,71.15625,172.75,1
15,72.875,172.5,1
15,74.09375,170.75,1
15,75.078125,169.25,1
15,76.546875,168.25,1
15,77.75,166.75,1
15,78.984375,165.0,1
15,81.421875,159.25,1
15,82.65625,159.75,1
15,83.859375,159.0,1
15,85.09375,157.25,1
15,86.3125,156.25,1
15,87.53125,155.5,1
15,88.75,154.5,1
15,89.984375,154.0,1
15,91.4375,153.75,1
15,98.53125,153.75,1
15,103.734375,154.5,1
15,104.609375,155.0,1
15,105.84375,154.25,1
15,110.71875,155.5,1
15,62.5,187.0,1
15,63.71875,185.25,1
15,64.9375,186.0,1
15,66.1875,185.25,1
15,67.40625,182.25,1
15,68.625,179.5,1
15,71.078125,172.75,1
15,72.296875,173.0,1
15,74.03125,171.25,1
15,75.234375,169.25,1
15,76.46875,168.25,1
15,77.6875,166.75,1
13,78.90625,165.0,1
15,80.140625,161.75,1
15,81.359375,159.25,1
15,82.578125,159.5,1
15,83.8125,158.75,1
15,85.03125,157.25,1
15,86.25,156.25,1
15,87.484375,155.5,1
15,88.703125,154.5,1
15,90.484375,154.0,1
15,91.1875,153.75,1
15,98.515625,153.75,1
15,103.421875,154.5,1
15,104.640625,155.0,1
15,105.859375,154.25,1
15,110.75,155.5,1
15,62.828125,186.25,1
15,65.265625,184.75,1
15,66.515625,184.25,1
15,69.21875,180.5,1
15,70.1875,175.5,1
15,71.421875,173.0,1
15,73.140625,172.25,1
15,74.375,170.75,1
15,75.59375,168.25,1
15,76.828125,166.75,1
15,78.046875,166.25,1
15,79.265625,164.75,1
15,82.9375,161.75,1
15,84.171875,159.25,1
15,85.40625,157.5,1
15,86.625,156.0,1
15,87.84375,155.0,1
15,89.0625,154.25,1
15,90.265625,154.25,1
15,91.484375,153.75,1
15,104.921875,155.5,1
15,65.484375,186.0,1
15,66.75,183.75,1
15,70.4375,175.25,1
15,71.65625,173.5,1
15,73.375,172.0,1
15,74.609375,170.0,1
15,75.828125,168.0,1
15,77.046875,165.5,1
15,78.265625,165.0,1
14,79.5,163.75,1
15,83.4375,160.25,1
15,84.40625,158.75,1
15,86.125,157.5,1
15,86.859375,155.5,1
15,88.078125,154.75,1
15,89.296875,154.5,1
15,91.03125,154.0,1
15,91.703125,153.25,1
15,106.34375,154.25,1
15,107.546875,154.25,1
15,65.53125,186.0,1
15,66.765625,183.75,1
15,70.4375,175.25,1
15,71.65625,173.5,1
15,73.390625,172.0,1
15,74.609375,170.0,1
15,75.828125,168.0,1
15,77.0625,165.5,1
15,78.265625,165.0,1
13,79.5,164.0,1
15,83.171875,160.75,1
15,84.390625,158.75,1
15,85.625,157.25,1
15,86.84375,155.5,1
15,88.0625,154.75,1
15,89.296875,154.5,1
15,91.1875,154.0,1
15,91.65625,153.25,1
15,105.046875,156.0,1
15,107.5,154.5,1
15,62.734375,186.75,1
15,65.171875,185.75,1
15,66.390625,184.75,1
14,67.609375,181.75,1
15,69.09375,179.5,1
15,71.28125,172.75,1
15,72.5,172.75,1
15,74.21875,171.0,1
15,75.453125,168.75,1
15,76.671875,167.75,1
15,77.890625,166.75,1
13,79.109375,164.75,1
15,80.34375,161.25,1
15,81.546875,159.25,1
15,82.78125,159.75,1
15,84.0,159.25,1
15,85.21875,157.5,1
15,86.4375,156.0,1
15,87.671875,155.5,1
15,88.890625,154.75,1
15,90.109375,154.25,1
15,91.296875,153.75,1
15,98.609375,155.0,1
15,103.5,154.5,1
15,104.703125,155.0,1
15,107.140625,154.5,1
15,110.796875,156.0,1
15,62.6875,186.5,1
15,63.921875,185.75,1
15,65.125,186.25,1
15,66.328125,185.0,1
14,67.546875,182.0,1
15,68.765625,179.5,1
15,71.21875,172.75,1
15,72.921875,172.5,1
15,74.15625,170.75,1
15,75.375,169.25,1
14,76.59375,168.0,1
15,77.8125,166.5,1
15,79.03125,165.0,1
15,81.484375,159.25,1
15,82.6875,159.75,1
15,83.921875,159.0,1
15,85.140625,157.25,1
15,86.359375,156.0,1
15,87.578125,155.25,1
15,88.8125,154.5,1
15,90.03125,154.0,1
15,91.21875,153.75,1
15,99.171875,153.75,1
15,103.40625,155.0,1
15,104.625,155.25,1
15,105.84375,154.25,1
15,110.71875,155.5,1
15,62.484375,187.0,1
15,66.140625,184.5,1
14,67.359375,182.25,1
15,68.828125,180.0,1
15,71.03125,173.5,1
15,72.734375,172.5,1
15,73.96875,170.75,1
15,75.1875,169.25,1
15,76.40625,168.25,1
14,77.625,166.75,1
15,78.84375,165.0,1
15,81.296875,159.25,1
15,82.515625,159.25,1
15,83.734375,158.75,1
15,84.953125,157.25,1
15,86.171875,156.0,1
15,87.40625,155.25,1
15,88.625,154.75,1
15,89.828125,154.25,1
15,91.078125,153.75,1
15,98.421875,153.5,1
15,104.5,154.25,1
15,105.734375,154.0,1
15,106.953125,154.0,1
15,108.171875,154.5,1
15,109.390625,155.25,1
15,110.609375,156.5,1
15,62.421875,187.75,1
15,66.09375,184.5,1
14,67.3125,182.25,1
15,68.546875,179.75,1
15,69.765625,176.75,1
15,70.984375,174.0,1
15,72.703125,172.75,1
15,73.921875,170.75,1
15,75.140625,169.25,1
15,76.359375,168.5,1
14,77.578125,167.0,1
14,78.8125,165.0,1
15,81.265625,159.25,1
15,82.46875,159.25,1
15,83.703125,158.5,1
15,85.25,157.0,1
15,86.140625,156.0,1
15,87.359375,155.5,1
15,88.578125,154.75,1
15,89.8125,154.25,1
15,91.015625,153.75,1
15,103.234375,154.25,1
15,105.671875,154.75,1
15,108.109375,154.25,1
15,65.765625,185.5,1
15,66.96875,183.25,1
14,68.203125,180.75,1
15,69.4375,177.75,1
15,70.640625,175.0,1
15,71.875,173.5,1
15,73.59375,171.75,1
15,74.8125,170.0,1
15,76.03125,168.5,1
15,77.25,166.25,1
15,79.703125,162.75,1
15,83.375,159.0,1
15,84.59375,157.25,1
15,85.8125,156.25,1
15,87.03125,155.5,1
15,88.25,155.0,1
15,89.484375,154.75,1
15,90.671875,154.0,1
15,91.890625,153.0,1
15,105.296875,154.25,1
15,106.515625,154.0,1
15,107.734375,154.25,1
15,62.734375,186.5,1
15,65.171875,185.5,1
15,66.421875,184.75,1
15,68.859375,180.5,1
15,70.09375,175.0,1
15,71.296875,172.75,1
15,73.03125,172.75,1
15,74.25,171.0,1
15,75.46875,168.75,1
15,76.6875,167.5,1
15,77.90625,166.5,1
14,79.140625,164.75,1
15,80.359375,161.25,1
15,81.578125,159.5,1
15,82.796875,160.0,1
15,84.03125,159.25,1
15,85.578125,157.5,1
15,86.46875,156.0,1
15,87.6875,155.25,1
15,88.90625,154.5,1
15,90.140625,154.0,1
15,91.296875,153.75,1
15,98.59375,155.0,1
15,103.46875,155.0,1
15,104.671875,155.25,1
15,105.890625,154.25,1
15,107.109375,154.0,1
15,110.765625,156.0,1
15,65.625,186.0,1
15,66.828125,183.5,1
15,69.265625,179.75,1
15,70.484375,175.5,1
15,71.703125,173.5,1
15,73.421875,172.0,1
15,74.65625,170.0,1
15,75.875,168.0,1
15,77.09375,165.5,1
14,78.296875,165.0,1
15,79.53125,163.5,1
15,83.1875,160.0,1
15,84.421875,158.5,1
15,85.640625,157.25,1
15,86.859375,155.75,1
15,88.078125,155.0,1
15,89.296875,154.5,1
15,90.484375,154.0,1
15,92.203125,153.25,1
15,105.078125,154.75,1
15,106.296875,154.25,1
15,107.515625,154.25,1
15,62.5625,186.75,1
15,63.78125,185.5,1
15,65.0,186.0,1
15,66.203125,185.25,1
15,67.421875,182.25,1
15,68.640625,179.5,1
15,70.109375,175.75,1
15,71.078125,173.25,1
15,72.296875,173.0,1
15,74.03125,171.25,1
15,75.25,169.25,1
15,76.46875,168.25,1
15,77.6875,166.75,1
13,78.890625,165.0,1
15,80.125,161.75,1
15,81.34375,159.25,1
15,82.5625,159.25,1
15,83.796875,158.75,1
15,85.015625,157.25,1
15,86.234375,156.0,1
15,87.578125,155.25,1
15,88.671875,154.5,1
15,89.890625,154.0,1
15,91.09375,153.5,1
15,98.40625,154.0,1
15,105.703125,154.25,1
15,106.9375,154.0,1
15,110.578125,155.75,1
15,65.75,185.5,1
15,66.96875,183.25,1
15,70.625,175.0,1
15,71.84375,173.25,1
15,73.5625,171.5,1
15,74.796875,170.0,1
15,76.0,168.5,1
15,77.21875,166.25,1
15,78.4375,165.25,1
15,80.890625,159.0,1
15,82.109375,158.25,1
15,83.34375,158.0,1
15,84.5625,157.5,1
15,85.78125,156.5,1
15,87.0,155.5,1
15,88.21875,155.0,1
15,89.4375,154.5,1
15,90.640625,154.0,1
15,91.859375,153.0,1
15,105.265625,154.25,1
15,106.484375,154.0,1
15,107.703125,154.0,1
15,62.6875,186.75,1
15,63.90625,186.25,1
15,65.125,186.5,1
15,66.34375,184.5,1
15,67.5625,181.75,1
15,68.78125,179.5,1
15,71.21875,172.5,1
15,72.9375,172.5,1
15,74.15625,170.75,1
15,75.375,169.0,1
14,76.59375,167.75,1
15,77.8125,166.5,1
14,79.03125,165.0,1
15,81.46875,159.25,1
15,82.6875,160.0,1
15,83.90625,159.0,1
15,85.125,157.25,1
15,86.359375,156.0,1
15,87.578125,155.25,1
15,88.78125,154.25,1
15,90.015625,154.0,1
15,91.234375,153.75,1
15,98.5625,154.5,1
15,103.4375,155.0,1
15,104.640625,155.25,1
