angle1,distance1,object1,angle2,distance2,object2
359.98438,187.5,0,121.95313,221.25,0
359.98438,187.5,0,121.9375,221.0,0
359.98438,187.5,0,121.92188,221.25,0
359.98438,187.5,0,121.90625,221.0,0
359.98438,187.5,0,121.89062,221.0,0
359.98438,187.5,0,121.84375,221.0,0
359.98438,187.5,0,121.82812,221.0,0
359.98438,187.5,0,121.82812,221.0,0
359.96875,187.5,0,121.82812,221.0,0
359.96875,187.5,0,121.8125,221.0,0
359.96875,187.5,0,121.8125,221.0,0
359.96875,187.5,0,121.8125,221.0,0
359.95313,187.5,0,121.79687,221.0,0
359.95313,187.5,0,121.40625,221.0,0
359.95313,187.5,0,120.90625,221.0,0
359.95313,187.5,0,120.89062,221.0,0
359.95313,187.5,0,120.85938,221.0,0
359.9375,187.5,0,120.73438,221.0,0
359.9375,187.5,0,120.6875,221.0,0
359.9375,187.5,0,120.6875,217.5,0
359.9375,187.5,0,120.65625,221.0,0
359.9375,187.5,0,120.625,221.0,0
359.9375,187.5,0,120.625,218.25,0
359.9375,187.5,0,120.625,218.25,0
359.9375,187.5,0,120.625,218.25,0
359.9375,187.5,0,120.625,218.25,0
359.9375,187.25,0,120.625,218.25,0
359.92188,187.5,0,120.60938,218.25,0
359.92188,187.5,0,120.60938,218.25,0
359.92188,187.5,0,120.60938,218.25,0
359.92188,187.5,0,120.60938,218.25,0
359.92188,187.5,0,120.60938,218.25,0
359.92188,187.5,0,120.60938,218.25,0
359.92188,187.25,0,120.60938,218.25,0
359.90625,187.75,0,120.60938,218.25,0
359.90625,187.5,0,120.60938,218.25,0
359.90625,187.5,0,120.60938,218.25,0
359.90625,187.5,0,120.59375,218.25,0
359.90625,187.5,0,120.59375,218.25,0
359.90625,187.5,0,120.59375,218.25,0
359.90625,187.5,0,120.57812,218.25,0
359.89062,187.75,0,120.57812,218.25,0
359.89062,187.5,0,120.54687,221.0,0
359.89062,187.5,0,120.54687,221.0,0
359.89062,187.5,0,120.53125,221.0,0
359.89062,187.25,0,120.46875,218.25,0
359.875,187.5,0,120.45312,217.5,0
359.875,187.5,0,120.45312,217.5,0
359.875,187.5,0,120.4375,217.5,0
359.875,187.5,0,120.4375,217.5,0
359.875,187.5,0,120.42188,221.0,0
359.875,187.5,0,120.40625,221.0,0
359.875,187.5,0,120.39062,217.5,0
359.85937,187.75,0,120.375,217.5,0
359.85937,187.75,0,120.34375,217.5,0
359.85937,187.5,0,120.32813,217.25,0
359.85937,187.5,0,120.3125,217.25,0
359.85937,187.5,0,120.29688,217.25,0
359.84375,187.75,0,120.29688,217.25,0
359.82812,187.75,0,120.29688,217.25,0
359.82812,187.75,0,120.29688,217.25,0
359.82812,187.75,0,120.28125,217.25,0
359.82812,187.5,0,120.28125,217.25,0
359.82812,187.25,0,120.28125,217.25,0
359.8125,188.0,0,120.28125,217.25,0
359.8125,187.75,0,120.28125,217.25,0
359.8125,187.75,0,120.26562,221.0,0
359.8125,187.75,0,120.26562,217.25,0
359.8125,187.75,0,120.20312,217.25,0
359.8125,187.75,0,120.14063,216.75,0
359.8125,187.75,0,120.03125,217.5,0
359.8125,187.75,0,120.01562,217.5,0
359.8125,187.75,0,120.0,216.75,0
359.8125,187.75,0,119.96875,215.75,0
359.8125,187.75,0,119.95313,215.75,0
359.8125,187.5,0,119.875,216.5,0
359.8125,187.25,0,119.85938,217.5,0
359.79687,187.75,0,119.79688,217.5,0
359.79687,187.75,0,119.75,215.75,0
359.79687,187.75,0,119.73438,215.75,0
359.79687,187.75,0,119.73438,215.75,0
359.79687,187.5,0,119.73438,215.75,0
359.78125,188.0,0,119.73438,215.75,0
359.78125,187.75,0,119.71875,215.75,0
359.78125,187.75,0,119.71875,215.75,0
359.78125,187.75,0,119.71875,215.75,0
359.78125,187.75,0,119.71875,215.75,0
359.78125,187.5,0,119.71875,215.75,0
359.78125,187.5,0,119.70312,215.75,0
359.78125,187.5,0,119.70312,215.75,0
359.76562,188.0,0,119.70312,215.75,0
359.76562,187.75,0,119.6875,215.75,0
359.76562,187.75,0,119.67188,215.75,0
359.76562,187.75,0,119.67188,215.75,0
359.76562,187.75,0,119.67188,215.75,0
359.76562,187.75,0,119.67188,215.75,0
359.76562,187.75,0,119.65625,215.75,0
359.76562,187.5,0,119.65625,215.75,0
359.76562,187.5,0,119.64062,215.75,0
359.76562,187.5,0,119.64062,215.75,0
359.75,187.75,0,119.64062,215.75,0
359.75,187.75,0,119.64062,215.75,0
359.75,187.75,0,119.625,217.5,0
359.75,187.75,0,119.625,216.0,0
359.75,187.75,0,119.625,215.75,0
359.75,187.5,0,119.625,215.75,0
359.75,187.5,0,119.60938,215.75,0
359.75,187.5,0,119.60938,215.75,0
359.75,187.5,0,119.60938,215.75,0
359.75,187.25,0,119.60938,215.75,0
359.73437,187.75,0,119.60938,215.75,0
359.73437,187.5,0,119.60938,215.75,0
359.73437,187.5,0,119.60938,215.75,0
359.73437,187.5,0,119.59375,215.75,0
359.71875,188.0,0,119.59375,215.5,0
359.71875,187.75,0,119.57813,215.75,0
359.71875,187.75,0,119.57813,215.5,0
359.71875,187.75,0,119.57813,215.5,0
359.71875,187.75,0,119.57813,215.5,0
359.71875,187.75,0,119.5625,215.5,0
359.71875,187.75,0,119.5625,215.5,0
359.71875,187.75,0,119.54688,215.5,0
359.71875,187.75,0,119.54688,215.5,0
359.71875,187.75,0,119.53125,215.5,0
359.71875,187.5,0,119.5,215.5,0
359.71875,187.5,0,119.45312,215.5,0
359.71875,187.5,0,119.45312,215.5,0
359.70312,187.75,0,119.45312,215.5,0
359.70312,187.75,0,119.45312,214.75,0
359.70312,187.75,0,119.4375,215.5,0
359.70312,187.75,0,119.42188,215.5,0
359.70312,187.75,0,119.42188,215.25,0
359.70312,187.75,0,119.40625,215.5,0
359.70312,187.75,0,119.40625,215.25,0
359.70312,187.5,0,119.39062,215.25,0
359.6875,187.75,0,119.39062,215.25,0
359.6875,187.75,0,119.39062,215.25,0
359.6875,187.75,0,119.39062,215.25,0
359.6875,187.75,0,119.39062,215.25,0
359.6875,187.75,0,119.39062,215.25,0
359.6875,187.5,0,119.375,215.25,0
359.67188,187.75,0,119.375,215.25,0
359.67188,187.75,0,119.35938,215.25,0
359.67188,187.75,0,119.3125,215.5,0
359.67188,187.75,0,119.3125,215.5,0
359.67188,187.75,0,119.29688,215.25,0
359.67188,187.75,0,119.21875,214.75,0
359.67188,187.75,0,119.21875,214.75,0
359.67188,187.5,0,119.21875,214.75,0
359.67188,187.5,0,119.20312,217.5,0
359.65625,187.75,0,119.20312,214.75,0
359.65625,187.75,0,119.17188,217.5,0
359.65625,187.75,0,119.17188,214.75,0
359.65625,187.75,0,119.17188,214.75,0
359.65625,187.75,0,119.15625,216.0,0
359.65625,187.5,0,119.15625,214.75,0
359.64063,188.0,0,119.14062,214.75,0
359.64063,188.0,0,119.14062,214.75,0
359.64063,188.0,0,119.125,217.25,0
359.64063,187.75,0,119.125,215.75,0
359.64063,187.75,0,119.125,214.75,0
359.64063,187.75,0,119.125,214.75,0
359.64063,187.75,0,119.125,214.75,0
359.64063,187.75,0,119.125,214.75,0
359.64063,187.75,0,119.125,214.75,0
359.64063,187.75,0,119.10937,217.5,0
359.64063,187.75,0,119.10937,214.75,0
359.64063,187.75,0,119.09375,217.5,0
359.625,188.0,0,119.09375,217.25,0
359.625,188.0,0,119.09375,214.75,0
359.625,188.0,0,119.04688,214.75,0
359.625,187.75,0,119.01562,217.5,0
359.625,187.75,0,119.01562,217.5,0
359.625,187.75,0,119.01562,217.25,0
359.625,187.75,0,119.0,215.5,0
359.60938,188.5,0,119.0,214.5,0
359.60938,188.25,0,119.0,214.5,0
359.60938,187.75,0,118.98438,217.25,0
359.60938,187.75,0,118.98438,215.5,0
359.60938,187.75,0,118.98438,215.25,0
359.60938,187.75,0,118.98438,214.5,0
359.59375,188.5,0,118.96875,217.5,0
359.59375,188.25,0,118.96875,217.5,0
359.59375,188.0,0,118.96875,215.5,0
359.59375,187.75,0,118.96875,215.5,0
359.59375,187.75,0,118.96875,214.75,0
359.59375,187.75,0,118.96875,214.5,0
359.59375,187.75,0,118.95312,217.5,0
359.57813,188.5,0,118.95312,214.5,0
359.57813,188.25,0,118.9375,214.5,0
359.57813,188.0,0,118.92187,217.25,0
359.57813,187.75,0,118.92187,216.75,0
359.57813,187.75,0,118.90625,215.25,0
359.57813,187.75,0,118.89063,215.5,0
359.5625,188.25,0,118.89063,214.25,0
359.5625,188.0,0,118.875,215.5,0
359.5625,187.75,0,118.79688,214.0,0
359.5625,187.75,0,118.78125,214.0,0
359.5625,187.75,0,118.78125,214.0,0
359.5625,187.75,0,118.78125,214.0,0
359.5625,187.75,0,118.78125,214.0,0
359.5625,187.75,0,118.78125,214.0,0
359.5625,187.75,0,118.76562,215.25,0
359.54687,188.25,0,118.75,216.5,0
359.54687,188.25,0,118.75,214.0,0
359.54687,188.0,0,118.75,214.0,0
359.54687,187.75,0,118.73437,214.0,0
359.54687,187.75,0,118.73437,214.0,0
359.54687,187.75,0,118.73437,214.0,0
359.54687,187.75,0,118.71875,214.0,0
359.53125,188.25,0,118.71875,214.0,0
359.53125,188.0,0,118.71875,214.0,0
359.53125,187.75,0,118.71875,213.25,0
