angle1,distance1,object1,angle2,distance2,object2
359.98438,182.75,0,105.90625,190.5,1
359.98438,182.75,0,105.75,189.75,1
359.98438,182.75,0,105.6875,190.75,1
359.98438,182.75,0,105.65625,190.5,1
359.98438,182.75,0,105.64062,190.0,1
359.98438,182.75,0,105.60938,190.5,1
359.98438,182.75,0,105.5625,190.5,1
359.98438,182.75,0,105.5625,190.5,1
359.98438,182.75,0,105.54688,190.5,1
359.98438,182.75,0,105.53125,190.25,1
359.98438,182.75,0,105.53125,190.0,1
359.98438,182.75,0,105.53125,190.0,1
359.98438,182.75,0,105.51562,190.5,1
359.96875,182.75,0,105.51562,190.0,1
359.96875,182.75,0,105.5,190.0,1
359.96875,182.75,0,105.5,190.0,1
359.96875,182.75,0,105.5,190.0,1
359.96875,182.75,0,105.5,190.0,1
359.96875,182.75,0,105.5,189.75,1
359.96875,182.75,0,105.5,189.75,1
359.96875,182.75,0,105.5,189.75,1
359.96875,182.75,0,105.5,189.5,1
359.96875,182.75,0,105.48438,190.25,1
359.96875,182.75,0,105.48438,190.25,1
359.96875,182.75,0,105.48438,190.25,1
359.96875,182.75,0,105.48438,190.0,1
359.96875,182.75,0,105.48438,190.0,1
359.95313,182.75,0,105.48438,190.0,1
359.95313,182.75,0,105.48438,190.0,1
359.95313,182.75,0,105.48438,190.0,1
359.95313,182.75,0,105.48438,190.0,1
359.95313,182.75,0,105.48438,189.75,1
359.95313,182.75,0,105.48438,189.75,1
359.95313,182.5,0,105.48438,189.75,1
359.95313,182.5,0,105.48438,189.75,1
359.95313,182.5,0,105.46875,190.0,1
359.9375,182.75,0,105.46875,189.75,1
359.9375,182.75,0,105.46875,189.75,1
359.9375,182.75,0,105.46875,189.75,1
359.9375,182.75,0,105.46875,189.75,1
359.9375,182.75,0,105.46875,189.75,1
359.9375,182.75,0,105.46875,189.75,1
359.9375,182.75,0,105.46875,189.5,1
359.9375,182.75,0,105.46875,189.5,1
359.9375,182.75,0,105.45312,190.25,1
359.9375,182.75,0,105.45312,190.0,1
359.9375,182.5,0,105.45312,190.0,1
359.9375,182.5,0,105.45312,189.75,1
359.9375,182.5,0,105.45312,189.75,1
359.9375,182.5,0,105.45312,189.5,1
359.9375,182.5,0,105.45312,189.5,1
359.9375,182.5,0,105.4375,189.75,1
359.9375,182.5,0,105.4375,189.75,1
359.92188,182.75,0,105.4375,189.75,1
359.92188,182.5,0,105.4375,189.75,1
359.92188,182.5,0,105.4375,189.75,1
359.92188,182.5,0,105.4375,189.5,1
359.92188,182.5,0,105.4375,189.5,1
359.92188,182.5,0,105.4375,189.5,1
359.92188,182.5,0,105.42188,190.0,1
359.92188,182.5,0,105.42188,189.75,1
359.92188,182.5,0,105.42188,189.5,1
359.92188,182.25,0,105.42188,189.5,1
359.90625,182.5,0,105.42188,189.5,1
359.90625,182.5,0,105.42188,189.5,1
359.90625,182.5,0,105.40625,189.75,1
359.90625,182.5,0,105.40625,189.75,1
359.90625,182.5,0,105.40625,189.75,1
359.90625,182.25,0,105.40625,189.75,1
359.89062,182.5,0,105.40625,189.75,1
359.89062,182.5,0,105.40625,189.75,1
359.89062,182.5,0,105.40625,189.5,1
359.89062,182.5,0,105.39062,189.75,1
359.875,182.5,0,105.39062,189.75,1
359.875,182.5,0,105.39062,189.5,1
359.875,182.5,0,105.39062,189.5,1
359.875,182.5,0,105.39062,189.5,1
359.875,182.5,0,105.39062,189.5,1
359.875,182.5,0,105.39062,189.25,1
359.85937,182.75,0,105.39062,189.25,1
359.85937,182.5,0,105.375,189.75,1
359.85937,182.5,0,105.375,189.5,1
359.85937,182.5,0,105.375,189.5,1
359.85937,182.5,0,105.35938,189.75,1
359.85937,182.25,0,105.35938,189.5,1
359.85937,182.25,0,105.35938,189.5,1
359.84375,182.5,0,105.35938,189.5,1
359.84375,182.5,0,105.34375,189.75,1
359.84375,182.5,0,105.34375,189.5,1
359.84375,182.5,0,105.34375,189.5,1
359.84375,182.5,0,105.34375,189.25,1
359.84375,182.5,0,105.3125,189.75,1
359.84375,182.5,0,105.29688,189.5,1
359.84375,182.5,0,105.26563,189.25,1
359.84375,182.5,0,105.25,189.75,1
359.82812,182.5,0,105.14062,189.75,1
359.82812,182.5,0,104.92188,189.75,1
359.82812,182.5,0,104.84375,189.25,1
359.82812,182.5,0,104.84375,189.0,1
359.82812,182.5,0,104.78125,190.0,1
359.82812,182.5,0,104.76562,189.75,1
359.82812,182.5,0,104.73438,189.75,1
359.82812,182.5,0,104.73438,189.75,1
359.82812,182.5,0,104.73438,189.75,1
359.82812,182.5,0,104.71875,189.5,1
359.82812,182.5,0,104.71875,189.5,1
359.82812,182.5,0,104.70312,190.0,1
359.82812,182.5,0,104.70312,190.0,1
359.8125,182.5,0,104.6875,189.5,1
359.8125,182.5,0,104.67188,189.5,1
359.8125,182.5,0,104.67188,189.5,1
359.8125,182.5,0,104.65625,189.5,1
359.8125,182.5,0,104.65625,189.25,1
359.8125,182.5,0,104.65625,189.25,1
359.8125,182.5,0,104.65625,189.25,1
359.8125,182.5,0,104.64063,189.25,1
359.8125,182.5,0,104.625,189.5,1
359.8125,182.25,0,104.625,189.5,1
359.8125,182.25,0,104.625,189.5,1
359.79687,182.5,0,104.625,189.5,1
359.79687,182.5,0,104.625,189.5,1
359.79687,182.5,0,104.625,189.5,1
359.79687,182.5,0,104.625,189.25,1
359.79687,182.5,0,104.625,189.25,1
359.79687,182.5,0,104.625,189.0,1
359.79687,182.5,0,104.60938,189.25,1
359.79687,182.5,0,104.60938,189.25,1
359.79687,182.25,0,104.60938,189.0,1
359.78125,182.5,0,104.60938,189.0,1
359.78125,182.5,0,104.60938,188.75,1
359.78125,182.5,0,104.59375,189.75,1
359.78125,182.5,0,104.59375,189.5,1
359.78125,182.5,0,104.59375,189.25,1
359.78125,182.5,0,104.59375,189.25,1
359.78125,182.5,0,104.59375,189.25,1
359.78125,182.5,0,104.59375,189.25,1
359.78125,182.5,0,104.59375,189.25,1
359.78125,182.5,0,104.59375,189.25,1
359.76562,182.75,0,104.59375,189.25,1
359.76562,182.75,0,104.59375,189.25,1
359.76562,182.75,0,104.59375,189.0,1
359.76562,182.75,0,104.59375,189.0,1
359.76562,182.5,0,104.59375,189.0,1
359.76562,182.5,0,104.57812,189.5,1
359.76562,182.5,0,104.57812,189.25,1
359.76562,182.5,0,104.57812,189.25,1
359.76562,182.5,0,104.57812,189.25,1
359.76562,182.5,0,104.57812,189.25,1
359.76562,182.5,0,104.57812,189.25,1
359.76562,182.5,0,104.57812,189.25,1
359.76562,182.25,0,104.57812,189.0,1
359.76562,182.25,0,104.57812,189.0,1
359.75,182.75,0,104.57812,189.0,1
359.75,182.75,0,104.57812,189.0,1
359.75,182.75,0,104.57812,189.0,1
359.75,182.75,0,104.5625,189.25,1
359.75,182.75,0,104.5625,189.0,1
359.75,182.5,0,104.5625,189.0,1
359.75,182.5,0,104.5625,189.0,1
359.75,182.5,0,104.5625,189.0,1
359.75,182.5,0,104.5625,188.75,1
359.75,182.25,0,104.5625,188.75,1
359.73437,182.5,0,104.5625,188.75,1
359.73437,182.5,0,104.54688,189.25,1
359.73437,182.5,0,104.54688,189.0,1
359.73437,182.25,0,104.54688,189.0,1
359.73437,182.25,0,104.54688,189.0,1
359.73437,182.25,0,104.54688,189.0,1
359.73437,182.25,0,104.54688,188.75,1
359.73437,182.25,0,104.54688,188.75,1
359.73437,182.25,0,104.54688,188.75,1
359.73437,182.25,0,104.54688,188.75,1
359.73437,182.25,0,104.54688,188.75,1
359.71875,182.5,0,104.53125,189.25,1
359.71875,182.25,0,104.53125,189.0,1
359.71875,182.25,0,104.53125,189.0,1
359.71875,182.25,0,104.53125,188.75,1
359.71875,182.25,0,104.53125,188.75,1
359.71875,182.25,0,104.53125,188.75,1
359.71875,182.25,0,104.51562,189.0,1
359.71875,182.25,0,104.51562,188.75,1
359.71875,182.25,0,104.51562,188.75,1
359.70312,182.5,0,104.51562,188.5,1
359.70312,182.5,0,104.5,189.25,1
359.70312,182.5,0,104.5,189.0,1
359.70312,182.5,0,104.5,189.0,1
359.70312,182.25,0,104.5,188.75,1
359.70312,182.25,0,104.5,188.75,1
359.70312,182.25,0,104.5,188.75,1
359.70312,182.25,0,104.5,188.75,1
359.70312,182.25,0,104.5,188.5,1
359.6875,182.75,0,104.5,188.5,1
359.6875,182.5,0,104.48438,189.25,1
359.6875,182.5,0,104.48438,189.25,1
359.6875,182.5,0,104.48438,189.0,1
359.6875,182.5,0,104.48438,188.5,1
359.6875,182.5,0,104.46875,188.75,1
359.6875,182.5,0,104.46875,188.75,1
359.6875,182.5,0,104.46875,188.75,1
359.6875,182.25,0,104.46875,188.5,1
359.6875,182.25,0,104.46875,188.5,1
359.6875,182.25,0,104.46875,188.5,1
359.6875,182.25,0,104.45312,188.75,1
359.6875,182.25,0,104.45312,188.75,1
359.6875,182.25,0,104.45312,188.5,1
359.6875,182.25,0,104.4375,188.75,1
359.6875,182.25,0,104.4375,188.75,1
359.67188,182.5,0,104.42188,188.5,1
359.67188,182.5,0,104.42188,188.5,1
359.67188,182.5,0,104.42188,188.5,1
359.67188,182.25,0,104.40625,189.0,1
359.67188,182.25,0,104.40625,188.75,1
359.67188,182.25,0,104.40625,188.75,1
359.67188,182.25,0,104.40625,188.75,1
359.67188,182.25,0,104.40625,188.5,1
359.67188,182.25,0,104.39062,189.5,1
359.65625,182.75,0,104.39062,189.25,1
359.65625,182.5,0,104.39062,188.75,1
359.65625,182.5,0,104.39062,188.75,1
359.65625,182.5,0,104.39062,188.75,1
359.65625,182.25,0,104.39062,188.75,1
359.65625,182.25,0,104.39062,188.5,1
359.65625,182.25,0,104.39062,188.5,1
359.64063,182.5,0,104.375,189.5,1
359.64063,182.5,0,104.375,189.5,1
359.64063,182.25,0,104.375,189.25,1
359.64063,182.25,0,104.375,188.75,1
359.64063,182.25,0,104.375,188.75,1
359.64063,182.25,0,104.375,188.5,1
359.64063,182.25,0,104.375,188.5,1
359.625,182.75,0,104.375,188.5,1
359.625,182.5,0,104.35938,189.75,1
359.625,182.5,0,104.35938,189.0,1
359.625,182.25,0,104.35938,189.0,1
359.625,182.25,0,104.34375,189.75,1
359.625,182.25,0,104.34375,189.0,1
359.625,182.25,0,104.34375,189.0,1
359.625,182.25,0,104.34375,189.0,1
359.625,182.25,0,104.34375,189.0,1
359.60938,182.5,0,104.34375,189.0,1
359.60938,182.25,0,104.34375,189.0,1
359.60938,182.25,0,104.34375,188.75,1
359.60938,182.25,0,104.34375,188.75,1
359.60938,182.25,0,104.34375,188.75,1
359.60938,182.25,0,104.34375,188.75,1
359.60938,182.25,0,104.34375,188.75,1
359.60938,182.25,0,104.34375,188.75,1
359.60938,182.25,0,104.32812,189.0,1
359.60938,182.25,0,104.32812,189.0,1
359.59375,182.5,0,104.32812,189.0,1
359.59375,182.5,0,104.32812,189.0,1
359.59375,182.5,0,104.32812,188.75,1
359.59375,182.5,0,104.32812,188.75,1
359.59375,182.5,0,104.3125,189.5,1
359.59375,182.25,0,104.3125,189.0,1
359.59375,182.25,0,104.3125,189.0,1
359.59375,182.25,0,104.3125,189.0,1
359.59375,182.25,0,104.3125,188.75,1
359.59375,182.25,0,104.3125,188.75,1
359.59375,182.25,0,104.3125,188.75,1
359.59375,182.25,0,104.29688,189.5,1
359.59375,182.25,0,104.29688,189.5,1
359.59375,182.25,0,104.29688,189.0,1
359.59375,182.25,0,104.29688,188.75,1
359.59375,182.25,0,104.29688,188.75,1
359.59375,182.25,0,104.29688,188.75,1
359.57813,182.5,0,104.29688,188.75,1
359.57813,182.5,0,104.29688,188.75,1
359.57813,182.5,0,104.29688,188.75,1
359.57813,182.5,0,104.29688,188.75,1
359.57813,182.5,0,104.29688,188.75,1
359.57813,182.5,0,104.29688,188.75,1
359.57813,182.25,0,104.28125,189.5,1
359.57813,182.25,0,104.28125,189.25,1
359.57813,182.25,0,104.28125,189.0,1
359.57813,182.25,0,104.28125,188.75,1
359.57813,182.25,0,104.28125,188.75,1
359.5625,182.75,0,104.26562,189.5,1
359.5625,182.75,0,104.26562,189.25,1
359.5625,182.75,0,104.26562,189.0,1
359.5625,182.5,0,104.26562,189.0,1
359.5625,182.5,0,104.26562,189.0,1
359.5625,182.5,0,104.26562,189.0,1
359.5625,182.5,0,104.26562,189.0,1
359.5625,182.5,0,104.26562,188.75,1
359.5625,182.5,0,104.26562,188.75,1
359.5625,182.5,0,104.26562,188.75,1
359.5625,182.5,0,104.25,189.25,1
359.5625,182.5,0,104.25,189.25,1
359.5625,182.5,0,104.25,189.25,1
359.5625,182.25,0,104.25,189.25,1
359.5625,182.25,0,104.25,189.0,1
359.5625,182.25,0,104.25,189.0,1
359.54687,182.75,0,104.25,189.0,1
359.54687,182.75,0,104.25,189.0,1
359.54687,182.75,0,104.25,189.0,1
359.54687,182.75,0,104.25,188.75,1
359.54687,182.75,0,104.23438,189.0,1
359.54687,182.75,0,104.23438,189.0,1
359.54687,182.75,0,104.23438,188.75,1
359.54687,182.75,0,104.21875,189.0,1
359.54687,182.75,0,104.20312,189.25,1
359.54687,182.5,0,104.20312,189.25,1
359.53125,182.75,0,104.20312,189.25,1
359.53125,182.75,0,104.20312,189.0,1
359.53125,182.75,0,104.20312,189.0,1
359.53125,182.75,0,104.20312,189.0,1
359.53125,182.75,0,104.20312,189.0,1
359.53125,182.5,0,104.20312,188.75,1
359.53125,182.25,0,104.1875,189.25,1
359.51562,182.75,0,104.1875,189.25,1
359.51562,182.75,0,104.1875,189.0,1
359.51562,182.75,0,104.17188,189.25,1
359.51562,182.75,0,104.17188,189.0,1
359.51562,182.75,0,104.17188,189.0,1
359.51562,182.75,0,104.15625,188.75,1
359.51562,182.75,0,104.14062,189.0,1
359.51562,182.75,0,104.14062,188.75,1
359.51562,182.75,0,104.10938,189.0,1
359.51562,182.75,0,104.09375,189.5,1
359.51562,182.5,0,104.09375,189.25,1
359.51562,182.5,0,104.0625,189.0,1
359.5,182.75,0,104.04688,188.75,1
359.5,182.75,0,104.03125,189.0,1
359.5,182.75,0,104.03125,189.0,1
359.5,182.75,0,104.01562,189.0,1
359.5,182.75,0,104.01562,188.75,1
359.5,182.75,0,103.96875,189.0,1
359.5,182.5,0,103.89062,188.75,1
359.48437,182.75,0,103.875,189.5,1
359.48437,182.75,0,103.875,188.75,1
359.48437,182.75,0,103.875,188.5,1
359.48437,182.75,0,103.875,188.5,1
359.48437,182.75,0,103.875,188.5,1
359.48437,182.75,0,103.85938,189.0,1
359.48437,182.75,0,103.84375,188.75,1
359.48437,182.75,0,103.84375,188.75,1
359.48437,182.75,0,103.84375,188.5,1
359.48437,182.75,0,103.84375,188.25,1
359.48437,182.75,0,103.84375,188.25,1
359.48437,182.75,0,103.84375,188.25,1
359.48437,182.5,0,103.82813,188.75,1
359.46875,182.75,0,103.82813,188.5,1
359.46875,182.75,0,103.8125,188.5,1
359.46875,182.75,0,103.8125,188.5,1
359.46875,182.75,0,103.8125,188.25,1
359.46875,182.75,0,103.8125,188.25,1
359.46875,182.75,0,103.8125,188.25,1
359.46875,182.75,0,103.8125,188.25,1
359.46875,182.75,0,103.71875,188.25,1
359.46875,182.75,0,103.53125,188.25,1
359.45312,183.0,0,103.53125,188.25,1
359.45312,182.75,0,103.51562,188.25,1
359.45312,182.75,0,103.51562,188.25,1
359.45312,182.75,0,103.51562,188.25,1
359.45312,182.75,0,103.5,188.25,1
359.45312,182.75,0,103.5,188.0,1
359.45312,182.5,0,103.48438,188.25,1
359.45312,182.5,0,103.125,188.25,1
359.45312,182.5,0,103.10938,189.0,1
359.45312,182.5,0,103.10938,188.5,1
359.4375,183.0,0,103.09375,189.25,1
359.4375,183.0,0,103.09375,189.0,1
359.4375,182.75,0,103.09375,188.75,1
359.4375,182.75,0,103.09375,188.5,1
359.4375,182.75,0,103.07812,189.0,1
359.4375,182.75,0,103.07812,188.75,1
359.4375,182.75,0,103.07812,188.75,1
359.4375,182.75,0,103.0625,189.0,1
359.4375,182.75,0,103.04688,188.5,1
359.4375,182.75,0,103.01563,189.0,1
359.4375,182.75,0,103.01563,188.75,1
359.4375,182.75,0,103.01563,188.75,1
359.42187,183.0,0,103.01563,188.75,1
359.42187,183.0,0,103.01563,188.5,1
359.42187,183.0,0,103.0,189.0,1
359.42187,182.75,0,103.0,188.75,1
359.42187,182.75,0,103.0,188.5,1
359.42187,182.75,0,102.98438,188.75,1
359.40625,183.0,0,102.98438,188.5,1
359.40625,182.75,0,102.96875,188.75,1
359.40625,182.75,0,102.96875,188.75,1
359.40625,182.75,0,102.96875,188.5,1
359.40625,182.75,0,102.96875,188.5,1
359.40625,182.75,0,102.96875,188.5,1
359.40625,182.75,0,102.96875,188.5,1
359.40625,182.75,0,102.96875,188.5,1
359.39062,182.75,0,102.96875,188.25,1
359.39062,182.75,0,102.95312,189.0,1
359.39062,182.75,0,102.95312,188.75,1
359.39062,182.75,0,102.95312,188.75,1
359.39062,182.75,0,102.95312,188.5,1
