angle1,distance1,object1,angle2,distance2,object2
359.875,193.5,1,122.21875,222.0,0
359.71875,191.0,1,122.21875,222.0,0
359.70312,191.25,1,122.20312,222.0,0
359.70312,191.0,1,122.1875,222.0,0
359.70312,191.0,1,122.1875,222.0,0
359.70312,191.0,1,122.1875,222.0,0
359.70312,191.0,1,122.1875,222.0,0
359.70312,191.0,1,122.17187,221.75,0
359.70312,191.0,1,122.15625,221.0,0
359.6875,193.75,1,122.125,221.5,0
359.6875,193.5,1,122.125,221.5,0
359.6875,191.25,1,122.09375,221.5,0
359.6875,191.0,1,122.09375,221.5,0
359.6875,191.0,1,122.07812,221.5,0
359.6875,191.0,1,122.0625,221.5,0
359.6875,191.0,1,122.04688,221.5,0
359.6875,191.0,1,122.03125,221.5,0
359.67188,191.25,1,122.03125,221.5,0
359.65625,193.75,1,122.03125,221.5,0
359.65625,193.5,1,122.03125,221.5,0
359.65625,193.5,1,122.03125,221.5,0
359.65625,193.5,1,122.01562,221.5,0
359.65625,193.5,1,122.01562,221.5,0
359.65625,193.25,1,122.01562,221.5,0
359.65625,191.25,1,122.01562,221.5,0
359.64063,193.75,1,122.01562,221.5,0
359.64063,193.5,1,122.0,221.5,0
359.64063,193.5,1,122.0,221.5,0
359.64063,193.5,1,121.95313,221.0,0
359.64063,193.5,1,121.95313,221.0,0
359.64063,193.5,1,121.95313,221.0,0
359.64063,193.5,1,121.9375,221.0,0
359.625,193.75,1,121.9375,221.0,0
359.625,193.75,1,121.9375,221.0,0
359.625,193.5,1,121.9375,221.0,0
359.625,193.5,1,121.92188,221.0,0
359.625,193.5,1,121.92188,221.0,0
359.625,193.5,1,121.92188,221.0,0
359.625,193.5,1,121.92188,221.0,0
359.625,193.25,1,121.92188,221.0,0
359.60938,193.75,1,121.92188,221.0,0
359.60938,193.5,1,121.90625,221.0,0
359.60938,193.5,1,121.90625,221.0,0
359.60938,193.5,1,121.90625,221.0,0
359.60938,193.5,1,121.90625,221.0,0
359.60938,193.5,1,121.90625,221.0,0
359.60938,193.5,1,121.89062,221.0,0
359.59375,193.75,1,121.89062,221.0,0
359.59375,193.75,1,121.89062,221.0,0
359.59375,193.5,1,121.89062,221.0,0
359.59375,193.5,1,121.875,221.0,0
359.59375,193.25,1,121.875,221.0,0
359.59375,193.25,1,121.875,221.0,0
359.59375,193.25,1,121.85938,221.0,0
359.57813,193.5,1,121.85938,221.0,0
359.57813,193.25,1,121.84375,221.75,0
359.5625,193.5,1,121.84375,221.75,0
359.5625,193.25,1,121.78125,222.0,0
359.54687,193.5,1,121.78125,222.0,0
359.54687,193.5,1,121.78125,220.75,0
359.54687,193.25,1,121.78125,220.75,0
359.53125,193.5,1,121.76563,220.75,0
359.51562,193.5,1,121.73438,221.75,0
359.51562,193.5,1,121.67188,221.75,0
359.51562,193.5,1,121.65625,221.5,0
359.51562,193.25,1,121.59375,222.0,0
359.35937,193.75,1,121.5625,222.0,0
359.34375,193.75,1,121.5625,222.0,0
359.32813,193.75,1,121.5625,222.0,0
359.29688,191.25,1,121.53125,221.75,0
359.15625,194.25,1,121.40625,222.0,0
359.14062,193.75,1,121.35938,222.0,0
359.14062,193.75,1,121.34375,222.0,0
359.125,194.25,1,121.34375,221.5,0
359.125,194.0,1,121.3125,221.75,0
359.125,194.0,1,121.28125,221.75,0
359.125,193.75,1,121.26562,221.5,0
359.125,193.75,1,121.26562,221.5,0
359.125,193.75,1,121.26562,221.5,0
359.10937,194.0,1,121.26562,221.0,0
359.10937,194.0,1,121.25,221.75,0
359.10937,194.0,1,121.25,221.75,0
359.10937,194.0,1,121.15625,221.75,0
359.10937,194.0,1,121.14062,222.0,0
359.10937,193.75,1,121.10938,221.75,0
359.10937,193.75,1,121.09375,221.5,0
359.10937,193.75,1,121.07812,222.0,0
359.10937,193.75,1,121.0625,218.25,0
359.09375,194.0,1,121.04688,221.5,0
359.09375,194.0,1,121.03125,221.5,0
359.09375,194.0,1,121.0,222.0,0
359.09375,193.75,1,120.9375,221.0,0
359.09375,193.75,1,120.92188,221.75,0
359.09375,193.75,1,120.92188,221.75,0
359.09375,193.75,1,120.92188,221.5,0
359.09375,193.75,1,120.90625,218.5,0
359.09375,193.75,1,120.90625,218.5,0
359.09375,193.75,1,120.89062,221.0,0
359.09375,193.75,1,120.89062,221.0,0
359.09375,193.75,1,120.89062,218.5,0
359.07812,194.25,1,120.89062,218.5,0
359.07812,194.0,1,120.89062,218.5,0
359.07812,194.0,1,120.89062,218.5,0
359.07812,194.0,1,120.89062,218.5,0
359.07812,193.75,1,120.875,221.5,0
359.07812,193.75,1,120.875,218.25,0
359.07812,193.75,1,120.875,218.0,0
359.07812,193.75,1,120.85938,221.0,0
359.0625,194.0,1,120.85938,218.5,0
359.0625,194.0,1,120.85938,218.25,0
359.0625,193.75,1,120.85938,218.25,0
359.0625,193.75,1,120.85938,218.25,0
359.0625,193.75,1,120.85938,218.25,0
358.71875,193.0,1,120.84375,221.5,0
358.70312,193.0,1,120.84375,218.5,0
358.70312,193.0,1,120.84375,218.25,0
358.6875,193.0,1,120.84375,218.25,0
358.6875,192.75,1,120.84375,218.25,0
358.6875,192.75,1,120.84375,218.25,0
358.67187,193.0,1,120.82812,221.5,0
358.625,193.25,1,120.82812,221.0,0
358.59375,193.75,1,120.82812,218.25,0
358.57813,193.75,1,120.82812,218.25,0
358.53125,193.0,1,120.82812,218.25,0
358.40625,193.25,1,120.82812,218.25,0
358.40625,193.25,1,120.82812,218.25,0
358.40625,193.25,1,120.82812,218.25,0
358.40625,193.25,1,120.82812,218.25,0
358.40625,193.25,1,120.8125,221.5,0
358.40625,193.25,1,120.8125,218.25,0
358.40625,193.25,1,120.8125,218.25,0
358.39062,193.25,1,120.79688,218.25,0
358.39062,193.25,1,120.79688,218.25,0
358.39062,193.25,1,120.79688,218.25,0
358.39062,193.25,1,120.78125,218.25,0
358.39062,193.25,1,120.76562,221.5,0
358.39062,193.25,1,120.76562,221.0,0
358.39062,193.25,1,120.75,220.75,0
358.39062,193.25,1,120.73438,222.0,0
358.39062,193.25,1,120.73438,218.25,0
358.375,193.5,1,120.73438,218.25,0
358.375,193.5,1,120.73438,218.25,0
358.375,193.25,1,120.73438,218.25,0
358.375,193.25,1,120.71875,221.5,0
358.35937,193.75,1,120.71875,218.25,0
358.35937,193.25,1,120.71875,218.25,0
