angle1,distance1,object1,angle2,distance2,object2
358.0,194.0,1,105.92188,189.75,1
357.98437,193.5,1,105.90625,189.75,1
357.96875,193.75,1,105.89062,190.5,1
357.96875,193.5,1,105.82812,191.0,1
357.96875,193.5,1,105.75,190.0,1
357.96875,193.5,1,105.75,189.5,1
357.96875,193.5,1,105.70312,190.5,1
357.95312,193.5,1,105.6875,190.75,1
357.95312,193.5,1,105.6875,190.5,1
357.95312,193.5,1,105.6875,190.25,1
357.95312,193.5,1,105.67188,190.5,1
357.95312,193.5,1,105.67188,190.5,1
357.95312,193.5,1,105.67188,190.5,1
357.95312,193.5,1,105.65625,190.5,1
357.95312,193.5,1,105.65625,190.25,1
357.95312,193.5,1,105.65625,189.75,1
357.95312,193.5,1,105.65625,189.0,1
357.95312,193.5,1,105.64062,190.5,1
357.9375,193.75,1,105.625,190.25,1
357.9375,193.75,1,105.625,190.25,1
357.9375,193.75,1,105.60938,190.5,1
357.9375,193.75,1,105.60938,190.5,1
357.9375,193.75,1,105.60938,190.5,1
357.9375,193.5,1,105.60938,190.25,1
357.9375,193.5,1,105.60938,190.25,1
357.9375,193.5,1,105.59375,190.25,1
357.9375,193.5,1,105.59375,190.25,1
357.9375,193.5,1,105.57812,190.25,1
357.9375,193.5,1,105.57812,190.25,1
357.92187,193.75,1,105.57812,190.0,1
357.92187,193.5,1,105.5625,190.25,1
357.92187,193.5,1,105.5625,190.25,1
357.92187,193.5,1,105.5625,190.25,1
357.92187,193.5,1,105.5625,190.25,1
357.92187,193.5,1,105.5625,190.0,1
357.92187,193.5,1,105.54688,190.5,1
357.92187,193.5,1,105.54688,190.0,1
357.92187,193.5,1,105.54688,189.5,1
357.92187,193.5,1,105.53125,190.0,1
357.92187,193.5,1,105.53125,189.5,1
357.90625,193.75,1,105.51562,190.5,1
357.90625,193.75,1,105.51562,190.25,1
357.90625,193.75,1,105.51562,190.0,1
357.90625,193.75,1,105.51562,190.0,1
357.90625,193.5,1,105.51562,189.75,1
357.90625,193.5,1,105.51562,189.75,1
357.90625,193.5,1,105.51562,189.5,1
357.89063,193.75,1,105.51562,189.5,1
357.89063,193.75,1,105.51562,189.5,1
357.89063,193.75,1,105.5,190.25,1
357.89063,193.75,1,105.5,190.25,1
357.89063,193.75,1,105.5,190.25,1
357.89063,193.5,1,105.48438,190.25,1
357.89063,193.5,1,105.48438,190.25,1
357.84375,193.75,1,105.48438,190.0,1
357.8125,193.75,1,105.48438,190.0,1
357.8125,193.75,1,105.48438,190.0,1
357.79688,193.75,1,105.48438,190.0,1
357.79688,193.75,1,105.48438,189.75,1
357.79688,193.75,1,105.48438,189.75,1
357.79688,193.75,1,105.48438,189.5,1
357.78125,194.0,1,105.48438,189.25,1
357.78125,193.75,1,105.48438,189.25,1
357.78125,193.75,1,105.48438,189.25,1
357.78125,193.75,1,105.46875,189.75,1
357.78125,193.75,1,105.46875,189.75,1
357.78125,193.75,1,105.46875,189.75,1
357.78125,193.75,1,105.46875,189.5,1
357.76563,194.0,1,105.46875,189.25,1
357.76563,193.75,1,105.46875,189.0,1
357.75,194.0,1,105.46875,189.0,1
357.75,194.0,1,105.45312,189.5,1
357.75,194.0,1,105.45312,189.25,1
357.75,193.75,1,105.45312,189.25,1
357.73437,194.0,1,105.45312,189.25,1
357.73437,194.0,1,105.45312,189.0,1
357.73437,194.0,1,105.45312,189.0,1
357.73437,194.0,1,105.45312,189.0,1
357.73437,194.0,1,105.45312,189.0,1
357.73437,194.0,1,105.4375,190.0,1
357.73437,194.0,1,105.4375,190.0,1
357.73437,194.0,1,105.4375,189.75,1
357.73437,194.0,1,105.4375,189.75,1
357.71875,194.0,1,105.4375,189.75,1
357.71875,194.0,1,105.4375,189.25,1
357.71875,194.0,1,105.4375,189.0,1
357.71875,194.0,1,105.4375,189.0,1
357.71875,194.0,1,105.4375,189.0,1
357.71875,194.0,1,105.4375,189.0,1
357.71875,194.0,1,105.4375,189.0,1
357.71875,194.0,1,105.42188,189.75,1
357.71875,194.0,1,105.42188,189.75,1
357.71875,194.0,1,105.42188,189.75,1
357.71875,194.0,1,105.42188,189.5,1
357.71875,194.0,1,105.42188,189.5,1
357.70312,194.0,1,105.42188,189.25,1
357.70312,194.0,1,105.42188,189.0,1
357.70312,194.0,1,105.42188,189.0,1
357.70312,194.0,1,105.42188,189.0,1
357.70312,194.0,1,105.42188,189.0,1
357.70312,194.0,1,105.42188,189.0,1
357.70312,194.0,1,105.40625,190.75,1
357.70312,194.0,1,105.40625,189.75,1
357.70312,194.0,1,105.40625,189.75,1
357.70312,194.0,1,105.40625,189.5,1
357.70312,194.0,1,105.40625,189.5,1
357.70312,194.0,1,105.40625,189.5,1
357.70312,194.0,1,105.40625,189.25,1
357.6875,194.0,1,105.40625,189.0,1
357.6875,194.0,1,105.40625,189.0,1
357.6875,194.0,1,105.40625,189.0,1
357.6875,194.0,1,105.40625,189.0,1
357.67187,194.0,1,105.40625,189.0,1
357.67187,194.0,1,105.40625,188.75,1
357.67187,194.0,1,105.39062,189.75,1
357.67187,194.0,1,105.39062,189.75,1
357.67187,194.0,1,105.39062,189.5,1
357.67187,194.0,1,105.39062,189.5,1
357.67187,194.0,1,105.39062,189.5,1
357.67187,194.0,1,105.39062,189.25,1
357.67187,194.0,1,105.39062,189.25,1
357.67187,194.0,1,105.39062,189.25,1
357.65625,194.0,1,105.39062,189.0,1
357.65625,194.0,1,105.39062,189.0,1
357.65625,194.0,1,105.39062,188.75,1
357.65625,194.0,1,105.375,190.0,1
357.65625,194.0,1,105.375,190.0,1
357.65625,194.0,1,105.375,189.75,1
357.65625,194.0,1,105.375,189.5,1
357.65625,194.0,1,105.375,189.5,1
357.65625,194.0,1,105.375,189.5,1
357.65625,194.0,1,105.375,189.25,1
357.64062,194.0,1,105.375,189.25,1
357.64062,194.0,1,105.375,188.75,1
357.64062,194.0,1,105.35938,190.0,1
357.64062,194.0,1,105.35938,189.75,1
357.64062,194.0,1,105.35938,189.5,1
357.64062,194.0,1,105.35938,189.5,1
357.64062,194.0,1,105.34375,189.75,1
357.64062,194.0,1,105.34375,189.75,1
357.64062,194.0,1,105.34375,189.5,1
357.64062,194.0,1,105.34375,189.5,1
357.625,194.0,1,105.34375,189.5,1
357.625,194.0,1,105.34375,189.5,1
357.625,194.0,1,105.34375,189.25,1
357.625,194.0,1,105.32812,189.5,1
357.625,194.0,1,105.32812,189.5,1
357.625,194.0,1,105.32812,189.5,1
357.625,194.0,1,105.32812,189.5,1
357.625,194.0,1,105.32812,189.5,1
357.625,194.0,1,105.32812,189.5,1
357.625,194.0,1,105.32812,189.25,1
357.625,194.0,1,105.32812,189.25,1
357.60937,194.0,1,105.32812,189.25,1
357.60937,194.0,1,105.3125,189.75,1
357.60937,194.0,1,105.3125,189.5,1
357.60937,194.0,1,105.3125,189.5,1
357.60937,194.0,1,105.3125,189.5,1
357.60937,194.0,1,105.3125,189.5,1
357.60937,194.0,1,105.3125,189.5,1
357.60937,194.0,1,105.29688,189.75,1
357.60937,194.0,1,105.29688,189.5,1
357.60937,194.0,1,105.29688,189.5,1
357.60937,194.0,1,105.29688,189.5,1
357.60937,194.0,1,105.29688,189.25,1
357.60937,194.0,1,105.29688,189.25,1
357.60937,194.0,1,105.29688,189.25,1
357.60937,193.75,1,105.29688,189.25,1
357.60937,193.75,1,105.29688,189.0,1
357.60937,193.75,1,105.28125,189.5,1
357.59375,194.0,1,105.28125,189.5,1
357.59375,194.0,1,105.28125,189.5,1
357.59375,194.0,1,105.28125,189.25,1
357.59375,194.0,1,105.28125,189.25,1
357.59375,194.0,1,105.28125,189.25,1
357.59375,194.0,1,105.26563,190.25,1
357.59375,194.0,1,105.26563,189.75,1
357.59375,194.0,1,105.26563,189.25,1
357.59375,194.0,1,105.26563,189.25,1
357.59375,194.0,1,105.26563,189.25,1
357.59375,194.0,1,105.25,190.25,1
357.59375,194.0,1,105.25,190.0,1
357.59375,193.75,1,105.25,189.5,1
357.59375,193.75,1,105.25,189.5,1
357.59375,193.75,1,105.25,189.5,1
357.57812,194.0,1,105.25,189.5,1
357.57812,194.0,1,105.25,189.25,1
357.57812,194.0,1,105.25,188.75,1
357.57812,194.0,1,105.23438,189.5,1
357.57812,194.0,1,105.23438,189.25,1
357.57812,194.0,1,105.23438,189.0,1
357.57812,194.0,1,105.21875,189.25,1
357.57812,194.0,1,105.21875,189.0,1
357.57812,193.75,1,105.1875,188.75,1
357.57812,193.75,1,105.17188,189.75,1
357.57812,193.75,1,105.04688,189.75,1
357.57812,193.75,1,105.03125,189.25,1
357.5625,194.0,1,104.98438,189.75,1
357.5625,194.0,1,104.98438,189.25,1
357.5625,194.0,1,104.89062,189.5,1
357.5625,194.0,1,104.84375,189.25,1
357.5625,194.0,1,104.82812,189.5,1
357.5625,193.75,1,104.79688,189.25,1
357.5625,193.75,1,104.6875,189.75,1
357.5625,193.75,1,104.6875,189.75,1
357.5625,193.5,1,104.6875,189.5,1
357.54687,194.0,1,104.67188,189.75,1
357.54687,194.0,1,104.67188,189.5,1
357.54687,194.0,1,104.65625,189.25,1
357.54687,194.0,1,104.65625,189.25,1
357.54687,194.0,1,104.65625,189.25,1
357.54687,194.0,1,104.65625,189.25,1
357.54687,194.0,1,104.65625,189.25,1
357.54687,194.0,1,104.64063,189.5,1
357.54687,194.0,1,104.64063,189.5,1
357.54687,194.0,1,104.64063,189.25,1
357.54687,193.75,1,104.64063,189.0,1
357.54687,193.75,1,104.625,189.25,1
357.54687,193.75,1,104.625,189.25,1
357.54687,193.75,1,104.625,189.25,1
357.53125,194.0,1,104.625,189.25,1
357.53125,194.0,1,104.625,189.0,1
357.53125,194.0,1,104.625,189.0,1
357.53125,194.0,1,104.60938,189.25,1
357.53125,194.0,1,104.60938,189.25,1
357.53125,194.0,1,104.59375,189.5,1
357.53125,194.0,1,104.59375,189.5,1
357.53125,194.0,1,104.59375,189.25,1
357.53125,193.75,1,104.59375,189.25,1
357.51563,194.0,1,104.59375,189.0,1
357.51563,194.0,1,104.57812,189.25,1
357.51563,194.0,1,104.57812,189.25,1
357.51563,194.0,1,104.57812,189.25,1
357.51563,194.0,1,104.57812,189.25,1
357.51563,194.0,1,104.57812,189.0,1
357.51563,193.75,1,104.57812,189.0,1
357.51563,193.75,1,104.57812,189.0,1
357.5,194.5,1,104.57812,189.0,1
357.5,194.0,1,104.57812,189.0,1
357.5,194.0,1,104.5625,189.25,1
357.5,194.0,1,104.5625,189.25,1
357.5,194.0,1,104.5625,189.25,1
357.5,194.0,1,104.5625,188.75,1
357.5,194.0,1,104.5625,188.75,1
357.5,194.0,1,104.54688,189.25,1
357.5,194.0,1,104.54688,189.25,1
357.5,194.0,1,104.54688,189.25,1
357.5,194.0,1,104.54688,189.25,1
357.5,193.75,1,104.54688,189.25,1
357.48438,194.25,1,104.54688,189.25,1
357.48438,194.0,1,104.54688,189.0,1
357.48438,194.0,1,104.54688,189.0,1
357.48438,194.0,1,104.54688,188.75,1
357.48438,194.0,1,104.53125,189.5,1
357.48438,194.0,1,104.53125,189.0,1
357.48438,194.0,1,104.53125,189.0,1
357.48438,194.0,1,104.53125,189.0,1
357.48438,194.0,1,104.53125,189.0,1
357.48438,193.75,1,104.53125,189.0,1
357.48438,193.75,1,104.53125,189.0,1
357.48438,193.75,1,104.51562,189.25,1
357.48438,193.75,1,104.51562,189.25,1
357.48438,193.75,1,104.51562,189.25,1
357.46875,194.25,1,104.51562,189.0,1
357.46875,194.0,1,104.51562,189.0,1
357.46875,194.0,1,104.51562,189.0,1
357.46875,194.0,1,104.51562,188.75,1
357.46875,194.0,1,104.51562,188.75,1
357.46875,194.0,1,104.5,189.25,1
357.46875,194.0,1,104.5,189.0,1
357.46875,194.0,1,104.5,189.0,1
357.46875,193.75,1,104.5,188.75,1
357.45313,194.0,1,104.5,188.75,1
357.45313,194.0,1,104.5,188.75,1
357.45313,194.0,1,104.5,188.75,1
357.45313,194.0,1,104.5,188.75,1
357.45313,194.0,1,104.5,188.5,1
357.45313,194.0,1,104.48438,189.25,1
357.45313,194.0,1,104.48438,189.0,1
357.45313,193.75,1,104.48438,189.0,1
357.45313,193.75,1,104.48438,189.0,1
357.45313,193.75,1,104.48438,189.0,1
357.4375,194.0,1,104.48438,188.75,1
357.4375,194.0,1,104.48438,188.75,1
357.4375,194.0,1,104.48438,188.75,1
357.4375,194.0,1,104.48438,188.75,1
357.4375,194.0,1,104.48438,188.75,1
357.4375,194.0,1,104.48438,188.75,1
357.4375,194.0,1,104.48438,188.75,1
357.4375,194.0,1,104.46875,189.25,1
357.4375,194.0,1,104.46875,189.0,1
357.4375,194.0,1,104.46875,189.0,1
357.4375,194.0,1,104.46875,189.0,1
357.4375,193.75,1,104.46875,189.0,1
357.4375,193.75,1,104.46875,189.0,1
357.42188,194.0,1,104.46875,189.0,1
357.42188,194.0,1,104.46875,189.0,1
357.42188,194.0,1,104.46875,188.75,1
357.42188,194.0,1,104.46875,188.75,1
357.42188,194.0,1,104.46875,188.75,1
357.42188,194.0,1,104.46875,188.75,1
357.42188,194.0,1,104.46875,188.75,1
357.42188,194.0,1,104.45312,189.25,1
357.42188,194.0,1,104.45312,189.0,1
357.42188,194.0,1,104.45312,189.0,1
357.42188,194.0,1,104.45312,189.0,1
357.42188,194.0,1,104.45312,189.0,1
357.42188,194.0,1,104.45312,188.75,1
357.42188,194.0,1,104.45312,188.75,1
357.42188,194.0,1,104.45312,188.75,1
357.40625,194.0,1,104.45312,188.75,1
357.40625,194.0,1,104.45312,188.75,1
357.40625,194.0,1,104.4375,189.0,1
357.40625,194.0,1,104.4375,189.0,1
357.40625,194.0,1,104.4375,189.0,1
357.40625,194.0,1,104.4375,189.0,1
357.40625,193.5,1,104.4375,188.75,1
357.39062,194.25,1,104.4375,188.75,1
357.39062,194.25,1,104.4375,188.75,1
357.39062,194.25,1,104.42188,189.0,1
357.39062,194.0,1,104.42188,189.0,1
357.39062,194.0,1,104.42188,189.0,1
357.39062,194.0,1,104.42188,189.0,1
357.39062,194.0,1,104.42188,189.0,1
357.39062,194.0,1,104.42188,189.0,1
357.39062,194.0,1,104.42188,188.75,1
357.39062,194.0,1,104.42188,188.75,1
357.39062,194.0,1,104.42188,188.75,1
357.375,194.25,1,104.42188,188.75,1
357.375,194.25,1,104.40625,189.25,1
357.375,194.0,1,104.40625,189.0,1
357.375,194.0,1,104.40625,189.0,1
357.375,194.0,1,104.40625,189.0,1
357.375,194.0,1,104.40625,188.75,1
357.35937,194.25,1,104.40625,188.75,1
357.35937,194.25,1,104.40625,188.75,1
357.35937,194.25,1,104.40625,188.75,1
357.35937,194.25,1,104.40625,188.5,1
357.35937,194.25,1,104.39062,189.0,1
357.35937,194.25,1,104.39062,189.0,1
357.35937,194.25,1,104.39062,189.0,1
357.35937,194.25,1,104.39062,188.75,1
357.35937,194.25,1,104.39062,188.75,1
357.35937,194.0,1,104.39062,188.75,1
357.35937,194.0,1,104.39062,188.75,1
357.35937,194.0,1,104.39062,188.75,1
357.35937,194.0,1,104.39062,188.75,1
357.35937,194.0,1,104.39062,188.75,1
357.34375,194.25,1,104.39062,188.5,1
357.34375,194.25,1,104.375,189.0,1
357.34375,194.25,1,104.375,189.0,1
357.34375,194.25,1,104.375,189.0,1
357.34375,194.25,1,104.375,189.0,1
357.34375,194.25,1,104.375,188.75,1
357.34375,194.25,1,104.375,188.75,1
357.34375,194.0,1,104.35938,189.0,1
357.34375,194.0,1,104.35938,189.0,1
357.34375,194.0,1,104.35938,189.0,1
357.34375,194.0,1,104.35938,189.0,1
357.34375,194.0,1,104.35938,189.0,1
357.34375,194.0,1,104.35938,189.0,1
357.34375,194.0,1,104.35938,189.0,1
357.34375,193.5,1,104.35938,188.75,1
357.32812,194.25,1,104.35938,188.75,1
357.32812,194.25,1,104.35938,188.75,1
357.32812,194.25,1,104.34375,189.0,1
357.32812,194.25,1,104.34375,189.0,1
357.32812,194.25,1,104.34375,189.0,1
357.32812,194.25,1,104.34375,189.0,1
357.32812,194.25,1,104.34375,188.75,1
357.32812,194.25,1,104.34375,188.75,1
357.32812,194.0,1,104.34375,188.75,1
357.32812,194.0,1,104.34375,188.75,1
357.32812,194.0,1,104.34375,188.75,1
357.32812,194.0,1,104.32812,189.25,1
357.32812,194.0,1,104.32812,189.0,1
357.32812,194.0,1,104.32812,189.0,1
357.32812,194.0,1,104.32812,189.0,1
357.32812,194.0,1,104.32812,189.0,1
357.32812,194.0,1,104.32812,188.75,1
357.3125,194.5,1,104.32812,188.75,1
357.3125,194.5,1,104.32812,188.75,1
357.3125,194.25,1,104.32812,188.75,1
357.3125,194.25,1,104.32812,188.75,1
357.3125,194.25,1,104.32812,188.75,1
357.3125,194.0,1,104.3125,189.25,1
357.3125,194.0,1,104.3125,189.0,1
357.3125,194.0,1,104.3125,189.0,1
