angle1,distance1,object1,angle2,distance2,object2
359.98438,189.5,1,111.6875,189.75,0
359.98438,189.25,1,111.64062,189.75,0
359.98438,188.75,1,111.60938,189.5,0
359.98438,188.5,1,111.57812,190.0,0
359.98438,188.5,1,111.5625,190.0,0
359.98438,188.5,1,111.54688,190.0,0
359.98438,188.5,1,111.53125,189.5,0
359.98438,188.5,1,111.51562,189.75,0
359.98438,188.5,1,111.51562,189.75,0
359.96875,190.5,1,111.51562,189.75,0
359.96875,188.75,1,111.51562,189.5,0
359.96875,188.75,1,111.51562,189.5,0
359.96875,188.5,1,111.51562,189.5,0
359.96875,188.5,1,111.5,189.5,0
359.96875,188.5,1,111.48438,189.75,0
359.96875,188.5,1,111.48438,189.75,0
359.96875,188.5,1,111.46875,189.75,0
359.96875,188.5,1,111.46875,189.75,0
359.95313,188.5,1,111.46875,189.5,0
359.95313,188.5,1,111.46875,189.5,0
359.95313,188.5,1,111.45312,189.75,0
359.95313,188.5,1,111.45312,189.5,0
359.9375,188.5,1,111.4375,189.75,0
359.9375,188.5,1,111.4375,189.5,0
359.9375,188.5,1,111.4375,189.5,0
359.9375,188.5,1,111.4375,189.5,0
359.92188,189.5,1,111.4375,189.5,0
359.92188,188.5,1,111.4375,189.5,0
359.92188,188.5,1,111.42188,189.75,0
359.92188,188.5,1,111.42188,189.75,0
359.90625,188.5,1,111.42188,189.75,0
359.90625,188.5,1,111.42188,189.5,0
359.89062,190.0,1,111.42188,189.5,0
359.89062,189.75,1,111.42188,189.5,0
359.89062,188.75,1,111.42188,189.5,0
359.89062,188.75,1,111.40625,189.75,0
359.89062,188.75,1,111.40625,189.75,0
359.89062,188.5,1,111.40625,189.5,0
359.89062,188.5,1,111.40625,189.5,0
359.875,190.25,1,111.39063,189.75,0
359.875,190.0,1,111.39063,189.75,0
359.875,190.0,1,111.39063,189.75,0
359.875,189.25,1,111.39063,189.75,0
359.875,189.0,1,111.39063,189.5,0
359.875,189.0,1,111.39063,189.5,0
359.875,189.0,1,111.39063,189.5,0
359.875,188.75,1,111.375,189.75,0
359.875,188.75,1,111.375,189.75,0
359.875,188.75,1,111.375,189.5,0
359.875,188.75,1,111.375,189.5,0
359.875,188.75,1,111.375,189.5,0
359.875,188.75,1,111.375,189.5,0
359.85937,189.5,1,111.375,189.5,0
359.85937,189.0,1,111.375,189.25,0
359.85937,189.0,1,111.35938,189.75,0
359.85937,189.0,1,111.35938,189.75,0
359.85937,189.0,1,111.35938,189.75,0
359.85937,188.75,1,111.35938,189.75,0
359.85937,188.75,1,111.35938,189.5,0
359.85937,188.75,1,111.35938,189.5,0
359.85937,188.5,1,111.35938,189.5,0
359.84375,191.0,1,111.35938,189.5,0
359.84375,189.5,1,111.35938,189.5,0
359.84375,189.25,1,111.35938,189.5,0
359.84375,189.0,1,111.35938,189.25,0
359.84375,188.75,1,111.34375,189.75,0
359.84375,188.75,1,111.34375,189.75,0
359.82812,189.0,1,111.34375,189.75,0
359.82812,188.75,1,111.34375,189.75,0
359.82812,188.75,1,111.34375,189.5,0
359.8125,189.25,1,111.34375,189.5,0
359.8125,189.25,1,111.34375,189.5,0
359.8125,189.25,1,111.34375,189.5,0
359.8125,189.0,1,111.34375,189.5,0
359.8125,188.5,1,111.34375,189.5,0
359.79687,189.25,1,111.34375,189.5,0
359.79687,189.25,1,111.34375,189.5,0
359.79687,189.0,1,111.34375,189.5,0
359.79687,188.75,1,111.34375,189.5,0
359.78125,189.0,1,111.34375,189.5,0
359.78125,188.5,1,111.32812,189.5,0
359.76562,189.5,1,111.32812,189.5,0
359.76562,189.5,1,111.32812,189.5,0
359.76562,189.25,1,111.32812,189.5,0
359.75,189.75,1,111.32812,189.5,0
359.75,189.25,1,111.32812,189.5,0
359.75,189.25,1,111.32812,189.5,0
359.75,188.5,1,111.32812,189.5,0
