angle1,distance1,object1,angle2,distance2,object2
359.98438,190.75,1,110.76562,197.75,1
359.98438,188.75,1,110.73438,196.75,1
359.98438,188.5,1,110.71875,197.75,1
359.98438,188.5,1,110.71875,197.5,1
359.98438,188.5,1,110.71875,197.5,1
359.98438,188.5,1,110.6875,197.75,1
359.98438,188.5,1,110.6875,197.5,1
359.98438,188.5,1,110.6875,197.5,1
359.98438,188.5,1,110.67188,197.5,1
359.98438,188.5,1,110.67188,197.5,1
359.98438,188.5,1,110.65625,197.5,1
359.98438,188.25,1,110.65625,197.5,1
359.98438,188.25,1,110.65625,197.5,1
359.98438,188.25,1,110.65625,196.5,1
359.98438,188.25,1,110.64062,197.5,1
359.98438,188.25,1,110.64062,197.5,1
359.96875,188.75,1,110.64062,196.5,1
359.96875,188.75,1,110.625,197.5,1
359.96875,188.5,1,110.625,197.5,1
359.96875,188.5,1,110.625,197.5,1
359.96875,188.5,1,110.625,197.0,1
359.96875,188.5,1,110.625,197.0,1
359.96875,188.5,1,110.60938,197.0,1
359.96875,188.5,1,110.60938,197.0,1
359.96875,188.5,1,110.60938,197.0,1
359.96875,188.25,1,110.60938,197.0,1
359.96875,188.25,1,110.60938,197.0,1
359.96875,188.25,1,110.59375,197.0,1
359.96875,188.25,1,110.59375,196.75,1
359.95313,188.5,1,110.54688,196.75,1
359.95313,188.5,1,110.54688,196.75,1
359.95313,188.5,1,110.54688,196.75,1
359.95313,188.5,1,110.54688,196.5,1
359.95313,188.5,1,110.53125,196.75,1
359.95313,188.5,1,110.53125,196.75,1
359.95313,188.25,1,110.53125,196.75,1
359.95313,188.25,1,110.53125,196.75,1
359.95313,188.25,1,110.53125,196.75,1
359.95313,188.25,1,110.53125,196.75,1
359.9375,190.25,1,110.53125,196.75,1
359.9375,188.75,1,110.53125,196.5,1
359.9375,188.75,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.5,1,110.51562,196.75,1
359.9375,188.25,1,110.51562,196.75,1
359.9375,188.25,1,110.51562,196.75,1
