angle1,distance1,object1,angle2,distance2,object2
359.92188,178.75,1,120.95312,228.75,0
359.89062,179.0,1,120.85938,228.75,0
359.875,179.75,1,120.85938,228.5,0
359.875,179.25,1,120.84375,228.5,0
359.875,179.25,1,120.82812,228.75,0
359.875,179.0,1,120.8125,228.75,0
359.875,179.0,1,120.8125,228.75,0
359.85937,179.5,1,120.8125,228.5,0
359.85937,179.5,1,120.79688,228.75,0
359.85937,179.25,1,120.78125,228.75,0
359.85937,179.25,1,120.76562,229.0,0
359.85937,179.25,1,120.76562,228.75,0
359.85937,179.25,1,120.76562,228.75,0
359.85937,179.25,1,120.76562,228.5,0
359.85937,179.25,1,120.75,228.75,0
359.84375,179.5,1,120.75,228.75,0
359.84375,179.25,1,120.75,228.75,0
359.84375,179.25,1,120.73438,229.25,0
359.84375,179.25,1,120.73438,229.0,0
359.84375,179.25,1,120.73438,229.0,0
359.84375,179.25,1,120.73438,228.75,0
359.84375,179.25,1,120.73438,228.75,0
359.84375,179.0,1,120.73438,228.75,0
359.84375,179.0,1,120.73438,228.5,0
359.84375,179.0,1,120.71875,229.0,0
359.82812,179.5,1,120.71875,228.75,0
359.82812,179.25,1,120.71875,227.75,0
359.82812,179.25,1,120.70313,228.75,0
359.8125,179.5,1,120.65625,228.5,0
359.8125,179.25,1,120.64062,228.5,0
359.8125,179.25,1,120.64062,228.5,0
359.8125,179.25,1,120.64062,228.5,0
359.8125,179.25,1,120.64062,228.5,0
359.8125,179.25,1,120.64062,227.75,0
359.8125,179.25,1,120.625,228.5,0
359.8125,179.25,1,120.625,228.5,0
359.8125,179.25,1,120.625,228.5,0
359.8125,179.25,1,120.625,228.5,0
359.8125,179.25,1,120.60938,228.5,0
359.8125,179.25,1,120.60938,228.5,0
359.8125,179.25,1,120.60938,228.5,0
359.79687,179.75,1,120.59375,228.75,0
359.79687,179.5,1,120.59375,228.5,0
359.79687,179.5,1,120.59375,228.5,0
359.79687,179.25,1,120.57812,228.5,0
359.79687,179.25,1,120.57812,228.5,0
359.78125,179.5,1,120.57812,228.5,0
359.78125,179.25,1,120.5625,228.75,0
359.78125,179.25,1,120.54687,228.5,0
359.78125,179.25,1,120.54687,228.5,0
359.78125,179.25,1,120.54687,228.5,0
359.76562,179.5,1,120.54687,228.5,0
359.76562,179.25,1,120.53125,228.5,0
359.76562,179.25,1,120.53125,228.5,0
359.76562,179.25,1,120.51563,228.0,0
359.76562,179.25,1,120.51563,228.0,0
359.76562,179.25,1,120.5,228.0,0
359.76562,179.25,1,120.5,228.0,0
359.75,179.5,1,120.48438,227.75,0
359.75,179.5,1,120.48438,227.75,0
359.75,179.5,1,120.48438,227.75,0
359.75,179.25,1,120.48438,227.75,0
359.75,179.25,1,120.46875,227.75,0
359.75,179.25,1,120.45312,228.5,0
359.75,179.25,1,120.45312,227.75,0
359.75,179.25,1,120.45312,227.75,0
359.75,179.25,1,120.4375,227.75,0
359.75,179.25,1,120.4375,227.75,0
359.75,179.25,1,120.4375,227.75,0
359.75,179.25,1,120.4375,227.75,0
359.73437,179.75,1,120.4375,227.75,0
359.73437,179.5,1,120.4375,227.75,0
359.73437,179.25,1,120.4375,227.75,0
359.73437,179.25,1,120.4375,227.5,0
