angle1,distance1,object1,angle2,distance2,object2
359.65625,182.25,1,111.59375,175.5,1
359.65625,182.25,1,111.59375,175.5,1
359.65625,182.25,1,111.57812,175.5,1
359.64063,182.25,1,111.5625,175.5,1
359.64063,182.25,1,111.54688,175.5,1
359.64063,182.25,1,111.53125,175.5,1
359.60938,182.25,1,111.53125,175.5,1
359.60938,182.25,1,111.51562,175.25,1
359.54687,182.5,1,111.5,175.25,1
359.51562,182.75,1,111.5,175.25,1
359.5,182.75,1,111.48438,175.25,1
359.5,182.5,1,111.48438,175.25,1
359.48437,182.75,1,111.42188,175.25,1
359.46875,182.75,1,111.42188,175.25,1
359.45312,182.75,1,111.39063,175.25,1
359.4375,182.75,1,111.375,175.25,1
359.42187,182.5,1,111.35938,175.25,1
359.29688,184.5,1,111.35938,175.25,1
359.29688,183.75,1,111.34375,175.25,1
359.28125,183.75,1,111.32812,175.25,1
359.28125,183.75,1,111.3125,175.25,1
359.26563,184.5,1,111.29688,175.25,1
359.26563,184.5,1,111.28125,175.25,1
359.26563,183.75,1,111.28125,175.25,1
359.26563,183.75,1,111.25,175.25,1
359.25,183.75,1,111.23438,175.25,1
359.23438,184.5,1,111.23438,175.25,1
359.23438,184.5,1,111.21875,175.25,1
359.23438,184.5,1,111.1875,175.25,1
359.21875,184.5,1,111.1875,175.25,1
359.21875,184.5,1,111.17188,175.25,1
359.21875,184.0,1,111.17188,175.25,1
359.20313,184.5,1,111.17188,175.25,1
359.04687,185.0,1,111.17188,175.25,1
359.04687,184.75,1,111.15625,175.25,1
359.03125,185.25,1,111.15625,175.25,1
359.03125,185.0,1,111.15625,175.25,1
359.03125,184.75,1,111.14062,175.25,1
359.01562,185.0,1,111.14062,175.25,1
359.01562,185.0,1,111.14062,175.25,1
359.01562,184.5,1,111.14062,175.25,1
359.0,184.75,1,111.125,175.25,1
359.0,184.75,1,111.125,175.25,1
359.0,184.5,1,111.125,175.25,1
358.98437,184.75,1,111.125,175.25,1
358.98437,184.75,1,111.125,175.25,1
358.98437,184.5,1,111.10938,175.25,1
358.98437,184.5,1,111.09375,175.25,1
358.96875,184.5,1,111.09375,175.25,1
358.95313,184.75,1,111.07812,175.25,1
358.95313,184.5,1,111.07812,175.25,1
358.95313,184.5,1,111.07812,175.25,1
358.95313,184.5,1,111.07812,175.25,1
358.9375,184.75,1,111.07812,175.25,1
358.9375,184.75,1,111.07812,175.25,1
358.9375,184.5,1,111.04688,175.25,1
358.92188,184.75,1,111.04688,175.25,1
358.92188,184.75,1,111.04688,175.25,1
358.90625,185.0,1,111.03125,175.25,1
358.89063,185.0,1,111.03125,175.25,1
358.75,185.0,1,111.03125,175.25,1
358.60938,185.0,1,111.01562,175.25,1
358.59375,185.0,1,111.0,175.25,1
358.59375,185.0,1,110.98438,175.25,1
358.59375,185.0,1,110.98438,175.25,1
358.57813,185.0,1,110.98438,175.25,1
358.57813,185.0,1,110.98438,175.25,1
358.5625,185.0,1,110.96875,175.25,1
358.5625,185.0,1,110.96875,175.25,1
358.5625,185.0,1,110.96875,175.25,1
358.54688,185.0,1,110.96875,175.25,1
358.54688,185.0,1,110.95312,175.25,1
358.54688,185.0,1,110.95312,175.25,1
358.54688,185.0,1,110.9375,175.25,1
358.54688,185.0,1,110.9375,175.25,1
358.54688,185.0,1,110.9375,175.25,1
358.54688,185.0,1,110.92188,175.25,1
358.53125,185.0,1,110.92188,175.25,1
358.51563,185.0,1,110.92188,175.25,1
358.51563,185.0,1,110.92188,175.25,1
358.51563,185.0,1,110.92188,175.25,1
358.51563,185.0,1,110.92188,175.25,1
358.5,185.0,1,110.90625,175.25,1
358.5,185.0,1,110.90625,175.25,1
358.5,185.0,1,110.90625,175.25,1
358.48438,185.0,1,110.89062,175.25,1
358.48438,185.0,1,110.89062,175.25,1
358.48438,185.0,1,110.89062,175.25,1
358.46875,185.0,1,110.89062,175.25,1
358.46875,185.0,1,110.89062,175.25,1
358.45312,185.0,1,110.89062,175.25,1
358.45312,185.0,1,110.89062,175.25,1
358.45312,185.0,1,110.89062,175.25,1
358.4375,185.0,1,110.89062,175.25,1
358.4375,185.0,1,110.89062,175.25,1
358.4375,185.0,1,110.875,175.25,1
358.42187,185.0,1,110.875,175.25,1
358.39062,185.0,1,110.875,175.25,1
358.39062,185.0,1,110.875,175.25,1
358.39062,185.0,1,110.85938,175.25,1
358.39062,185.0,1,110.85938,175.25,1
358.375,185.0,1,110.85938,175.25,1
358.375,185.0,1,110.84375,175.25,1
358.375,185.0,1,110.82812,175.25,1
358.375,185.0,1,110.82812,175.25,1
358.35937,185.0,1,110.82812,175.25,1
358.35937,185.0,1,110.8125,175.25,1
358.34375,185.0,1,110.8125,175.25,1
358.34375,185.0,1,110.8125,175.25,1
358.28125,185.0,1,110.79688,175.25,1
358.25,185.5,1,110.79688,175.25,1
358.21875,185.0,1,110.79688,175.25,1
358.21875,185.0,1,110.78125,175.25,1
358.21875,185.0,1,110.78125,175.25,1
358.20313,185.0,1,110.76562,175.25,1
358.1875,185.0,1,110.76562,175.25,1
