angle1,distance1,object1,angle2,distance2,object2
359.98438,186.75,0,111.75,211.75,0
359.98438,186.75,0,111.75,211.75,0
359.98438,186.75,0,111.70312,211.75,0
359.98438,186.75,0,111.60938,211.5,0
359.98438,186.75,0,111.59375,211.25,0
359.98438,186.75,0,111.5625,211.25,0
359.98438,186.75,0,111.53125,212.0,0
359.96875,186.75,0,111.53125,212.0,0
359.96875,186.75,0,111.51562,212.0,0
359.96875,186.75,0,111.51562,211.75,0
359.96875,186.75,0,111.51562,211.75,0
359.96875,186.75,0,111.5,211.75,0
359.95313,186.75,0,111.5,211.75,0
359.95313,186.75,0,111.5,211.75,0
359.95313,186.75,0,111.5,211.75,0
359.95313,186.75,0,111.48438,211.75,0
359.95313,186.75,0,111.48438,211.75,0
359.95313,186.75,0,111.46875,211.75,0
359.95313,186.75,0,111.46875,211.75,0
359.95313,186.75,0,111.46875,211.75,0
359.9375,187.0,0,111.46875,211.75,0
359.9375,187.0,0,111.46875,211.75,0
359.9375,186.75,0,111.45312,211.75,0
359.92188,187.0,0,111.45312,211.75,0
359.92188,187.0,0,111.45312,211.75,0
359.92188,187.0,0,111.4375,211.75,0
359.92188,187.0,0,111.4375,211.75,0
359.92188,187.0,0,111.4375,211.75,0
359.92188,187.0,0,111.4375,211.75,0
359.92188,186.75,0,111.4375,211.75,0
359.92188,186.75,0,111.4375,211.75,0
359.92188,186.75,0,111.4375,211.75,0
359.90625,187.25,0,111.4375,211.75,0
359.90625,187.0,0,111.4375,211.75,0
359.90625,187.0,0,111.4375,211.75,0
359.90625,187.0,0,111.42188,211.75,0
359.90625,187.0,0,111.42188,211.75,0
359.90625,187.0,0,111.42188,211.75,0
359.90625,187.0,0,111.42188,211.75,0
359.90625,187.0,0,111.42188,211.75,0
359.90625,186.75,0,111.42188,211.5,0
359.89062,187.0,0,111.40625,212.0,0
359.89062,187.0,0,111.40625,211.75,0
359.89062,187.0,0,111.40625,211.75,0
359.89062,187.0,0,111.40625,211.75,0
359.89062,187.0,0,111.40625,211.75,0
359.89062,187.0,0,111.40625,211.75,0
359.89062,187.0,0,111.40625,211.75,0
359.89062,187.0,0,111.40625,211.75,0
359.875,187.0,0,111.40625,211.75,0
359.875,187.0,0,111.39063,211.75,0
359.875,187.0,0,111.39063,211.75,0
359.875,187.0,0,111.39063,211.75,0
359.85937,187.0,0,111.39063,211.75,0
359.85937,187.0,0,111.39063,211.75,0
