angle1,distance1,object1,angle2,distance2,object2
359.98438,187.0,0,111.48438,207.25,1
359.98438,187.0,0,111.28125,207.25,1
359.98438,186.75,0,111.26562,207.75,1
359.98438,186.75,0,111.26562,207.5,1
359.98438,186.75,0,111.26562,207.5,1
359.98438,186.75,0,111.26562,207.5,1
359.96875,187.0,0,111.26562,207.25,1
359.96875,186.75,0,111.26562,207.25,1
359.95313,187.0,0,111.26562,207.25,1
359.95313,187.0,0,111.25,207.75,1
359.95313,187.0,0,111.25,207.5,1
359.95313,187.0,0,111.25,207.5,1
359.95313,187.0,0,111.25,207.5,1
359.95313,187.0,0,111.25,207.25,1
359.95313,186.75,0,111.23438,207.5,1
359.95313,186.75,0,111.23438,207.25,1
359.95313,186.75,0,111.23438,207.25,1
359.95313,186.75,0,111.23438,207.25,1
359.95313,186.75,0,111.23438,207.25,1
359.95313,186.75,0,111.23438,207.25,1
359.9375,187.0,0,111.21875,207.5,1
359.9375,187.0,0,111.21875,207.25,1
359.9375,187.0,0,111.21875,207.25,1
359.9375,187.0,0,111.21875,207.25,1
359.9375,186.75,0,111.20312,207.25,1
359.9375,186.75,0,111.20312,207.25,1
359.9375,186.75,0,111.20312,207.25,1
359.9375,186.75,0,111.1875,207.5,1
359.9375,186.5,0,111.17188,207.5,1
359.92188,187.25,0,111.17188,207.25,1
359.92188,187.0,0,111.17188,207.0,1
359.92188,187.0,0,111.15625,207.25,1
359.92188,187.0,0,111.15625,207.25,1
359.92188,186.75,0,111.15625,207.25,1
359.92188,186.75,0,111.14062,207.25,1
359.92188,186.75,0,111.14062,207.0,1
359.90625,187.0,0,111.14062,207.0,1
359.90625,187.0,0,111.01562,206.75,1
359.90625,186.75,0,110.89062,207.75,1
359.90625,186.75,0,110.8125,206.0,1
359.90625,186.75,0,110.76562,205.75,1
359.90625,186.75,0,110.71875,205.75,1
359.90625,186.75,0,110.70312,205.75,1
359.90625,186.75,0,110.67188,207.25,1
359.90625,186.75,0,110.67188,205.75,1
359.89062,187.0,0,110.625,207.25,1
359.89062,187.0,0,110.59375,207.25,1
359.89062,187.0,0,110.57813,207.25,1
359.89062,187.0,0,110.53125,207.0,1
