angle1,distance1,object1,angle2,distance2,object2
359.98438,185.5,1,111.48438,207.75,1
359.98438,185.5,1,111.46875,207.5,1
359.98438,185.5,1,111.4375,207.75,1
359.98438,185.5,1,111.28125,208.0,1
359.98438,185.5,1,111.28125,207.25,1
359.98438,185.5,1,111.26562,207.5,1
359.96875,185.5,1,111.26562,207.5,1
359.96875,185.5,1,111.26562,207.25,1
359.96875,185.5,1,111.25,207.5,1
359.96875,185.5,1,111.25,207.5,1
359.96875,185.5,1,111.25,207.25,1
359.96875,185.5,1,111.25,207.25,1
359.96875,185.5,1,111.23438,207.5,1
359.96875,185.5,1,111.23438,207.5,1
359.96875,185.5,1,111.23438,207.5,1
359.96875,185.5,1,111.23438,207.5,1
359.96875,185.5,1,111.21875,207.5,1
359.96875,185.5,1,111.21875,207.5,1
359.96875,185.5,1,111.21875,207.5,1
359.96875,185.5,1,111.20312,207.5,1
359.96875,185.5,1,111.20312,207.5,1
359.96875,185.25,1,111.20312,207.5,1
359.96875,185.25,1,111.20312,207.5,1
359.95313,185.5,1,111.20312,207.5,1
359.95313,185.5,1,111.1875,207.5,1
359.95313,185.5,1,111.17188,207.25,1
359.95313,185.5,1,111.17188,207.0,1
359.95313,185.5,1,111.17188,207.0,1
359.95313,185.5,1,111.15625,207.25,1
359.95313,185.5,1,111.15625,206.75,1
359.9375,185.5,1,111.14062,207.25,1
359.9375,185.5,1,111.14062,206.75,1
359.9375,185.5,1,111.14062,206.75,1
359.9375,185.5,1,111.14062,206.75,1
359.9375,185.5,1,111.125,207.0,1
359.9375,185.5,1,111.125,206.75,1
359.9375,185.5,1,111.10938,206.75,1
359.9375,185.5,1,111.09375,207.5,1
359.9375,185.5,1,111.09375,207.0,1
359.9375,185.5,1,111.09375,206.75,1
359.9375,185.5,1,111.07812,206.75,1
359.9375,185.5,1,111.0625,207.0,1
359.9375,185.5,1,111.0625,206.75,1
359.9375,185.5,1,111.0625,206.75,1
359.92188,185.5,1,111.04688,207.0,1
359.92188,185.5,1,111.04688,206.75,1
359.92188,185.5,1,111.04688,206.75,1
359.92188,185.5,1,111.03125,206.75,1
359.92188,185.5,1,111.03125,206.75,1
359.92188,185.25,1,111.03125,206.75,1
359.92188,185.25,1,111.03125,206.75,1
359.92188,185.25,1,111.03125,206.75,1
359.90625,185.5,1,111.03125,206.25,1
359.90625,185.5,1,111.01562,206.75,1
359.90625,185.5,1,111.01562,206.75,1
359.90625,185.5,1,111.01562,206.75,1
359.90625,185.5,1,111.0,206.75,1
359.90625,185.25,1,111.0,206.75,1
359.90625,185.25,1,111.0,206.75,1
359.90625,185.25,1,110.98438,206.5,1
359.90625,185.25,1,110.96875,206.75,1
359.90625,185.25,1,110.96875,206.5,1
359.89062,185.5,1,110.89062,206.75,1
359.89062,185.5,1,110.85938,206.75,1
359.89062,185.5,1,110.8125,206.5,1
359.89062,185.25,1,110.8125,206.25,1
359.89062,185.25,1,110.8125,206.25,1
359.89062,185.25,1,110.79688,206.0,1
359.89062,185.25,1,110.79688,205.75,1
359.89062,185.25,1,110.78125,206.75,1
359.89062,185.25,1,110.78125,206.0,1
359.875,185.5,1,110.78125,206.0,1
359.875,185.5,1,110.78125,205.75,1
359.875,185.5,1,110.78125,205.75,1
359.875,185.25,1,110.76562,206.0,1
359.875,185.25,1,110.76562,205.5,1
359.875,185.25,1,110.73438,206.25,1
359.875,185.25,1,110.73438,206.0,1
359.875,185.25,1,110.73438,206.0,1
359.875,185.25,1,110.73438,205.75,1
359.875,185.25,1,110.73438,205.75,1
359.875,185.25,1,110.73438,205.75,1
359.875,185.25,1,110.73438,205.75,1
359.875,185.25,1,110.73438,205.75,1
359.85937,185.5,1,110.73438,205.75,1
359.85937,185.25,1,110.71875,206.0,1
359.85937,185.25,1,110.71875,205.75,1
359.85937,185.25,1,110.70312,206.0,1
359.85937,185.25,1,110.70312,205.75,1
359.85937,185.25,1,110.70312,205.75,1
359.85937,185.25,1,110.70312,205.75,1
359.85937,185.25,1,110.70312,205.75,1
359.85937,185.25,1,110.70312,205.75,1
359.85937,185.25,1,110.70312,205.5,1
359.85937,185.25,1,110.70312,205.5,1
359.85937,185.25,1,110.6875,205.75,1
359.84375,185.5,1,110.6875,205.5,1
359.84375,185.5,1,110.67188,205.75,1
359.84375,185.5,1,110.625,205.25,1
359.84375,185.25,1,110.59375,206.75,1
359.84375,185.25,1,110.59375,206.5,1
359.84375,185.25,1,110.48438,206.0,1
359.84375,185.25,1,110.4375,205.0,1
359.84375,185.25,1,110.375,206.75,1
359.82812,185.5,1,110.35938,206.25,1
359.82812,185.5,1,110.29688,206.0,1
359.82812,185.5,1,110.25,206.0,1
359.82812,185.5,1,110.23438,206.75,1
359.82812,185.5,1,110.21875,206.75,1
359.82812,185.5,1,110.15625,207.5,1
359.82812,185.5,1,110.15625,207.25,1
359.82812,185.25,1,110.125,206.75,1
359.82812,185.25,1,110.10938,205.75,1
359.82812,185.25,1,110.09375,207.5,1
359.82812,185.25,1,110.09375,206.75,1
359.82812,185.25,1,110.0625,207.0,1
359.82812,185.25,1,110.04688,206.75,1
359.82812,185.25,1,110.03125,206.75,1
359.82812,185.25,1,110.03125,205.75,1
359.8125,185.5,1,109.98438,207.0,1
359.8125,185.25,1,109.98438,203.5,1
359.8125,185.25,1,109.95312,206.75,1
359.8125,185.25,1,109.84375,205.75,1
359.8125,185.25,1,109.79688,203.25,1
359.8125,185.25,1,109.78125,203.5,1
359.8125,185.25,1,109.76563,203.25,1
359.8125,185.25,1,109.76563,203.25,1
359.8125,185.25,1,109.76563,203.0,1
359.79687,185.5,1,109.75,205.5,1
359.79687,185.5,1,109.75,203.25,1
359.79687,185.25,1,109.75,203.25,1
359.79687,185.25,1,109.73438,203.5,1
359.79687,185.25,1,109.73438,203.25,1
359.79687,185.25,1,109.73438,203.25,1
359.79687,185.25,1,109.73438,203.25,1
359.79687,185.25,1,109.73438,203.0,1
359.79687,185.25,1,109.73438,203.0,1
359.79687,185.25,1,109.71875,202.75,1
